Summary by Sample
Dataset Name:, C:\Elandata\Dataset\1403-11-29
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,BLANK FX
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Th232,3.92e+004,,,cps,11.1,,,ppm
Sc45,5.64e+004,,,cps,15.4,,,ppm
Y89,7.44e+004,,,cps,17.1,,,ppm
La139,1.89e+005,,,cps,44.4,,,ppm
Ce140,3.42e+005,,,cps,92.5,,,ppm
Pr141,4.68e+004,,,cps,10.7,,,ppm
Nd142,4.45e+004,,,cps,37.3,,,ppm
Sm152,1.01e+004,,,cps,8.,,,ppm
Eu153,5.65e+003,,,cps,2.38,,,ppm
Gd158,1.15e+004,,,cps,9.82,,,ppm
Tb159,4.35e+003,,,cps,0.973,,,ppm
Dy164,5.05e+003,,,cps,4.12,,,ppm
Ho165,2.79e+003,,,cps,0.649,,,ppm
Er166,2.97e+003,,,cps,2.02,,,ppm
Tm169,1.04e+003,,,cps,0.234,,,ppm
Yb174,2.41e+003,,,cps,1.62,,,ppm
Lu175,898,,,cps,0.225,,,ppm
U238,9.21e+003,,,cps,2.55,,,ppm
Ga69,8.72e+004,,,cps,20.,,,ppm
Sample ID:,506 X
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,1.12e+003,,,cps,2.88,,,ppm
Bi209,1.04e+004,,,cps,2.75,,,ppm
Cd111,357,,,cps,0.479,,,ppm
Cs133,5.45e+004,,,cps,9.84,,,ppm
Co59,4.43e+004,,,cps,10.2,,,ppm
Pb208,1.16e+006,,,cps,379,,,ppm
Rb85,5.74e+005,,,cps,162,,,ppm
Se82,317,,,cps,6.89,,,ppm
Ag107,1.66e+004,,,cps,7.46,,,ppm
Te130,-273,,,cps,-1.65,,,ppm
Ta181,5.47e+003,,,cps,0.418,,,ppm
Tl205,6.46e+003,,,cps,1.3,,,ppm
Ge74,-17.9,,,cps,-1.94e-002,,,ppm
Hf180,3.27e+003,,,cps,2.3,,,ppm
Mo98,1.16e+005,,,cps,105,,,ppm
Nb93,6.74e+004,,,cps,7.49,,,ppm
Sb121,5.29e+003,,,cps,4.52,,,ppm
Sn118,1.41e+004,,,cps,4.11,,,ppm
W184,1.39e+004,,,cps,13.9,,,ppm
Zr90,2.18e+005,,,cps,88.1,,,ppm
As75,5.31e+004,,,cps,155,,,ppm
V51,1.58e+005,,,cps,82.8,,,ppm
Cr52,2.76e+005,,,cps,124,,,ppm
Ni60,3.7e+004,,,cps,51.1,,,ppm
Cu63,4.51e+006,,,cps,2.82e+003,,,ppm
Zn66,4.26e+004,,,cps,102,,,ppm
Th232,4.88e+004,,,cps,13.7,,,ppm
Sc45,4.92e+004,,,cps,13.3,,,ppm
Y89,7.07e+004,,,cps,16.1,,,ppm
La139,1.83e+005,,,cps,42.5,,,ppm
Ce140,3.4e+005,,,cps,91.,,,ppm
Pr141,4.6e+004,,,cps,10.4,,,ppm
Nd142,4.46e+004,,,cps,37.,,,ppm
Sm152,1.14e+004,,,cps,8.92,,,ppm
Eu153,6.68e+003,,,cps,2.78,,,ppm
