Summary by Sample
Dataset Name:, C:\Elandata\Dataset\1403-11-29
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,BLANK FX
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Eu153,-12.3,,,cps,-2.1e-005,,,ppm
Gd158,-0.481,,,cps,-1.66e-006,,,ppm
Tb159,11.2,,,cps,1.02e-005,,,ppm
Dy164,-8.81,,,cps,-2.92e-005,,,ppm
Ho165,-7.42,,,cps,-7.02e-006,,,ppm
Er166,3.25,,,cps,8.95e-006,,,ppm
Tm169,10.5,,,cps,9.61e-006,,,ppm
Yb174,-9.51,,,cps,-2.59e-005,,,ppm
Lu175,-9.34,,,cps,-9.51e-006,,,ppm
U238,-7.37,,,cps,-8.27e-006,,,ppm
Ga69,-1.05,,,cps,-9.81e-007,,,ppm
Sample ID:,u 20
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,9.,,,cps,9.48e-005,,,ppm
Bi209,-5.45,,,cps,-5.93e-006,,,ppm
Cd111,1.05,,,cps,5.79e-006,,,ppm
Cs133,1.05,,,cps,7.79e-007,,,ppm
Co59,4.21,,,cps,3.97e-006,,,ppm
Pb208,218,,,cps,2.92e-004,,,ppm
Rb85,1.05,,,cps,1.22e-006,,,ppm
Se82,67.4,,,cps,6.e-003,,,ppm
Ag107,188,,,cps,3.46e-004,,,ppm
Te130,1.94,,,cps,4.83e-005,,,ppm
Ta181,-2.63,,,cps,-8.24e-007,,,ppm
Tl205,-5.26,,,cps,-4.35e-006,,,ppm
Ge74,12.7,,,cps,5.63e-005,,,ppm
Hf180,-1.18,,,cps,-3.39e-006,,,ppm
Mo98,32.4,,,cps,1.21e-004,,,ppm
Nb93,78.9,,,cps,3.6e-005,,,ppm
Sb121,1.05,,,cps,3.69e-006,,,ppm
Sn118,15.8,,,cps,1.89e-005,,,ppm
W184,32.6,,,cps,1.34e-004,,,ppm
Zr90,4.08,,,cps,6.77e-006,,,ppm
As75,90.6,,,cps,1.08e-003,,,ppm
V51,-208,,,cps,-4.47e-004,,,ppm
Cr52,-43.7,,,cps,-8.07e-005,,,ppm
Ni60,65.4,,,cps,3.7e-004,,,ppm
Cu63,-106,,,cps,-2.72e-004,,,ppm
Zn66,-87.4,,,cps,-8.59e-004,,,ppm
Th232,-6.32,,,cps,-7.25e-006,,,ppm
Sc45,-141,,,cps,-1.56e-004,,,ppm
Y89,12.6,,,cps,1.18e-005,,,ppm
La139,-13.7,,,cps,-1.3e-005,,,ppm
Ce140,-5.72,,,cps,-6.27e-006,,,ppm
Pr141,-0.58,,,cps,-5.37e-007,,,ppm
Nd142,-9.5,,,cps,-3.23e-005,,,ppm
Sm152,-9.51,,,cps,-3.06e-005,,,ppm
Eu153,1.54,,,cps,2.63e-006,,,ppm
Gd158,4.33,,,cps,1.5e-005,,,ppm
Tb159,14.3,,,cps,1.3e-005,,,ppm
Dy164,-9.41,,,cps,-3.12e-005,,,ppm
Ho165,-0.27,,,cps,-2.56e-007,,,ppm
Er166,4.27,,,cps,1.18e-005,,,ppm
Tm169,-3.16,,,cps,-2.88e-006,,,ppm
Yb174,-7.37,,,cps,-2.01e-005,,,ppm
Lu175,-6.85,,,cps,-6.97e-006,,,ppm
U238,404,,,cps,4.54e-004,,,ppm
Ga69,27.4,,,cps,2.55e-005,,,ppm
Sample ID:,th 20
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,6.,,,cps,6.32e-005,,,ppm
Bi209,-8.18,,,cps,-8.9e-006,,,ppm
Cd111,-4.21,,,cps,-2.32e-005,,,ppm
Cs133,5.26,,,cps,3.89e-006,,,ppm
Co59,-7.37,,,cps,-6.95e-006,,,ppm
Pb208,-136,,,cps,-1.82e-004,,,ppm
Rb85,-5.26,,,cps,-6.08e-006,,,ppm
Se82,66.,,,cps,5.88e-003,,,ppm
Ag107,-37.9,,,cps,-6.97e-005,,,ppm
Te130,-16.8,,,cps,-4.19e-004,,,ppm
Ta181,-15.3,,,cps,-4.8e-006,,,ppm
Tl205,-1.16e-005,,,cps,-9.57e-012,,,ppm
Ge74,18.,,,cps,7.96e-005,,,ppm
Hf180,-4.13,,,cps,-1.19e-005,,,ppm
Mo98,-8.07,,,cps,-3.01e-005,,,ppm
Nb93,3.16,,,cps,1.44e-006,,,ppm
Sb121,6.32,,,cps,2.21e-005,,,ppm
Sn118,1.05,,,cps,1.26e-006,,,ppm
W184,-13.7,,,cps,-5.6e-005,,,ppm
Zr90,-13.3,,,cps,-2.2e-005,,,ppm
As75,138,,,cps,1.66e-003,,,ppm
V51,-108,,,cps,-2.31e-004,,,ppm
Cr52,-508,,,cps,-9.39e-004,,,ppm
Ni60,-16.2,,,cps,-9.15e-005,,,ppm
Cu63,-171,,,cps,-4.36e-004,,,ppm
Zn66,-154,,,cps,-1.51e-003,,,ppm
Th232,-4.21,,,cps,-4.83e-006,,,ppm
Sc45,-144,,,cps,-1.6e-004,,,ppm
Y89,-1.05,,,cps,-9.85e-007,,,ppm
La139,-7.37,,,cps,-7.03e-006,,,ppm
Ce140,-10.8,,,cps,-1.19e-005,,,ppm
Pr141,-8.76,,,cps,-8.12e-006,,,ppm
Nd142,-5.79,,,cps,-1.97e-005,,,ppm
Sm152,-12.7,,,cps,-4.09e-005,,,ppm
Eu153,-3.59,,,cps,-6.13e-006,,,ppm
Gd158,0.283,,,cps,9.78e-007,,,ppm
Tb159,5.7,,,cps,5.17e-006,,,ppm
Dy164,-21.6,,,cps,-7.16e-005,,,ppm
Ho165,2.63,,,cps,2.49e-006,,,ppm
Er166,1.81,,,cps,4.98e-006,,,ppm
Tm169,-8.42,,,cps,-7.69e-006,,,ppm
Yb174,-9.44,,,cps,-2.57e-005,,,ppm
Lu175,-6.27,,,cps,-6.38e-006,,,ppm
U238,-14.7,,,cps,-1.65e-005,,,ppm
Ga69,-5.26,,,cps,-4.9e-006,,,ppm
Sample ID:,w
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,3.,,,cps,3.16e-005,,,ppm
Bi209,-13.3,,,cps,-1.45e-005,,,ppm
Cd111,-2.11,,,cps,-1.16e-005,,,ppm
Cs133,6.32,,,cps,4.67e-006,,,ppm
Co59,-3.16,,,cps,-2.98e-006,,,ppm
Pb208,-180,,,cps,-2.41e-004,,,ppm
Rb85,-1.39e-005,,,cps,-1.6e-011,,,ppm
Se82,98.9,,,cps,8.81e-003,,,ppm
Ag107,-33.7,,,cps,-6.19e-005,,,ppm
Te130,11.5,,,cps,2.85e-004,,,ppm
Ta181,-6.72,,,cps,-2.1e-006,,,ppm
Tl205,-2.11,,,cps,-1.74e-006,,,ppm
Ge74,8.44,,,cps,3.74e-005,,,ppm
Hf180,1.01e-002,,,cps,2.9e-008,,,ppm
Mo98,2.7,,,cps,1.01e-005,,,ppm
Nb93,-4.21,,,cps,-1.92e-006,,,ppm
Sb121,4.21,,,cps,1.48e-005,,,ppm
Sn118,2.11,,,cps,2.52e-006,,,ppm
W184,-16.8,,,cps,-6.9e-005,,,ppm
Zr90,-8.16,,,cps,-1.35e-005,,,ppm
As75,131,,,cps,1.57e-003,,,ppm
V51,-136,,,cps,-2.91e-004,,,ppm
Cr52,-526,,,cps,-9.7e-004,,,ppm
Ni60,-14.3,,,cps,-8.09e-005,,,ppm
Cu63,-186,,,cps,-4.77e-004,,,ppm
Zn66,-159,,,cps,-1.56e-003,,,ppm
Th232,-8.42,,,cps,-9.67e-006,,,ppm
Sc45,-152,,,cps,-1.68e-004,,,ppm
Y89,4.21,,,cps,3.94e-006,,,ppm
La139,-22.1,,,cps,-2.11e-005,,,ppm
Ce140,-22.4,,,cps,-2.46e-005,,,ppm
Pr141,-8.04,,,cps,-7.45e-006,,,ppm
Nd142,-2.72,,,cps,-9.25e-006,,,ppm
Sm152,3.12,,,cps,1.e-005,,,ppm
Eu153,7.18,,,cps,1.23e-005,,,ppm
Gd158,-2.52,,,cps,-8.69e-006,,,ppm
Tb159,8.17,,,cps,7.41e-006,,,ppm
Dy164,-21.3,,,cps,-7.07e-005,,,ppm
Ho165,-4.52,,,cps,-4.27e-006,,,ppm
Er166,-5.52,,,cps,-1.52e-005,,,ppm
Tm169,1.05,,,cps,9.61e-007,,,ppm
Yb174,-0.991,,,cps,-2.7e-006,,,ppm
Lu175,-1.6,,,cps,-1.63e-006,,,ppm
U238,-17.9,,,cps,-2.01e-005,,,ppm
Ga69,9.47,,,cps,8.83e-006,,,ppm
Sample ID:,RM RM B)
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,380,,,cps,0.981,,,ppm
Bi209,3.45e+003,,,cps,0.921,,,ppm
Cd111,135,,,cps,0.182,,,ppm
Cs133,9.07e+004,,,cps,16.5,,,ppm
Co59,7.29e+004,,,cps,16.9,,,ppm
Pb208,1.42e+005,,,cps,46.5,,,ppm
Rb85,5.52e+005,,,cps,156,,,ppm
Se82,129,,,cps,2.82,,,ppm
Ag107,2.98e+003,,,cps,1.34,,,ppm
Te130,107,,,cps,0.653,,,ppm
Ta181,2.39e+003,,,cps,0.183,,,ppm
Tl205,3.1e+003,,,cps,0.629,,,ppm
Ge74,127,,,cps,0.138,,,ppm
Hf180,1.51e+003,,,cps,1.07,,,ppm
Mo98,3.89e+003,,,cps,3.56,,,ppm
Nb93,3.2e+004,,,cps,3.57,,,ppm
Sb121,4.43e+003,,,cps,3.81,,,ppm
Sn118,2.14e+003,,,cps,0.627,,,ppm
W184,4.65e+003,,,cps,4.67,,,ppm
Zr90,8.69e+004,,,cps,35.3,,,ppm
As75,4.21e+004,,,cps,124,,,ppm
V51,5.43e+005,,,cps,286,,,ppm
Cr52,1.25e+005,,,cps,56.5,,,ppm
Ni60,2.11e+004,,,cps,29.3,,,ppm
Cu63,8.12e+004,,,cps,51.,,,ppm
Zn66,3.72e+004,,,cps,89.7,,,ppm
Th232,1.79e+004,,,cps,5.02,,,ppm
Sc45,8.41e+004,,,cps,22.8,,,ppm
Y89,4.33e+004,,,cps,9.92,,,ppm
La139,7.58e+004,,,cps,17.7,,,ppm
Ce140,1.49e+005,,,cps,40.1,,,ppm
Pr141,1.8e+004,,,cps,4.09,,,ppm
Nd142,1.67e+004,,,cps,13.9,,,ppm
Sm152,4.77e+003,,,cps,3.76,,,ppm
Eu153,3.89e+003,,,cps,1.63,,,ppm
Gd158,4.91e+003,,,cps,4.16,,,ppm
Tb159,1.84e+003,,,cps,0.409,,,ppm
Dy164,2.53e+003,,,cps,2.06,,,ppm
Ho165,1.59e+003,,,cps,0.37,,,ppm
Er166,1.85e+003,,,cps,1.25,,,ppm
Tm169,688,,,cps,0.154,,,ppm
Yb174,1.58e+003,,,cps,1.06,,,ppm
Lu175,653,,,cps,0.163,,,ppm
U238,4.47e+003,,,cps,1.23,,,ppm
Ga69,1.02e+005,,,cps,23.4,,,ppm
Sample ID:,2613-181
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,301,,,cps,0.766,,,ppm
Bi209,349,,,cps,9.18e-002,,,ppm
Cd111,161,,,cps,0.214,,,ppm
Cs133,8.14e+003,,,cps,1.45,,,ppm
Co59,1.43e+005,,,cps,32.6,,,ppm
Pb208,2.95e+005,,,cps,95.5,,,ppm
Rb85,1.42e+005,,,cps,39.7,,,ppm
Se82,37.5,,,cps,0.807,,,ppm
Ag107,4.59e+003,,,cps,2.04,,,ppm
Te130,-10.2,,,cps,-6.14e-002,,,ppm
Ta181,847,,,cps,6.41e-002,,,ppm
Tl205,1.03e+003,,,cps,0.205,,,ppm
Ge74,-364,,,cps,-0.389,,,ppm
Hf180,2.08e+003,,,cps,1.45,,,ppm
Mo98,1.92e+003,,,cps,1.73,,,ppm
Nb93,1.48e+004,,,cps,1.63,,,ppm
Sb121,345,,,cps,0.292,,,ppm
Sn118,2.26e+003,,,cps,0.654,,,ppm
W184,698,,,cps,0.691,,,ppm
Zr90,1.3e+005,,,cps,52.2,,,ppm
As75,2.59e+004,,,cps,74.8,,,ppm
V51,1.33e+005,,,cps,68.8,,,ppm
Cr52,1.07e+006,,,cps,478,,,ppm
Ni60,1.18e+005,,,cps,162,,,ppm
Cu63,1.25e+005,,,cps,77.,,,ppm
Zn66,3.6e+004,,,cps,85.5,,,ppm
Th232,8.61e+003,,,cps,2.39,,,ppm
Sc45,2.18e+005,,,cps,58.3,,,ppm
Y89,8.29e+004,,,cps,18.7,,,ppm
La139,5.82e+004,,,cps,13.4,,,ppm
Ce140,8.97e+004,,,cps,23.8,,,ppm
Pr141,1.56e+004,,,cps,3.5,,,ppm
Nd142,1.6e+004,,,cps,13.1,,,ppm
Sm152,4.57e+003,,,cps,3.55,,,ppm
Eu153,2.97e+003,,,cps,1.23,,,ppm
Gd158,5.29e+003,,,cps,4.42,,,ppm
Tb159,2.83e+003,,,cps,0.619,,,ppm
Dy164,4.3e+003,,,cps,3.45,,,ppm
Ho165,3.e+003,,,cps,0.685,,,ppm
Er166,3.18e+003,,,cps,2.12,,,ppm
Tm169,1.32e+003,,,cps,0.292,,,ppm
Yb174,2.84e+003,,,cps,1.87,,,ppm
Lu175,1.13e+003,,,cps,0.277,,,ppm
U238,2.7e+003,,,cps,0.73,,,ppm
Ga69,6.89e+004,,,cps,15.5,,,ppm
Sample ID:,2613-182
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,338,,,cps,0.881,,,ppm
Bi209,313,,,cps,8.42e-002,,,ppm
Cd111,126,,,cps,0.172,,,ppm
Cs133,8.87e+003,,,cps,1.62,,,ppm
Co59,1.05e+005,,,cps,24.6,,,ppm
Pb208,2.5e+005,,,cps,82.9,,,ppm
Rb85,1.57e+005,,,cps,44.9,,,ppm
Se82,6.63,,,cps,0.146,,,ppm
Ag107,5.02e+003,,,cps,2.28,,,ppm
Te130,-36.,,,cps,-0.222,,,ppm
Ta181,793,,,cps,6.15e-002,,,ppm
Tl205,987,,,cps,0.202,,,ppm
Ge74,-285,,,cps,-0.313,,,ppm
Hf180,2.2e+003,,,cps,1.57,,,ppm
Mo98,1.81e+003,,,cps,1.68,,,ppm
Nb93,1.53e+004,,,cps,1.73,,,ppm
Sb121,1.01e+003,,,cps,0.879,,,ppm
Sn118,1.5e+003,,,cps,0.443,,,ppm
W184,761,,,cps,0.772,,,ppm
Zr90,1.41e+005,,,cps,57.7,,,ppm
As75,2.09e+004,,,cps,62.,,,ppm
V51,4.28e+005,,,cps,228,,,ppm
Cr52,8.11e+005,,,cps,371,,,ppm
Ni60,8.5e+004,,,cps,119,,,ppm
Cu63,2.21e+005,,,cps,140,,,ppm
Zn66,2.92e+004,,,cps,71.1,,,ppm
Th232,1.03e+004,,,cps,2.92,,,ppm
Sc45,1.27e+005,,,cps,34.8,,,ppm
Y89,6.67e+004,,,cps,15.4,,,ppm
La139,5.84e+004,,,cps,13.8,,,ppm
Ce140,9.45e+004,,,cps,25.6,,,ppm
Pr141,1.61e+004,,,cps,3.68,,,ppm
Nd142,1.62e+004,,,cps,13.6,,,ppm
Sm152,4.29e+003,,,cps,3.42,,,ppm
Eu153,2.77e+003,,,cps,1.17,,,ppm
Gd158,5.02e+003,,,cps,4.29,,,ppm
Tb159,2.28e+003,,,cps,0.511,,,ppm
Dy164,3.49e+003,,,cps,2.87,,,ppm
Ho165,2.45e+003,,,cps,0.573,,,ppm
Er166,2.53e+003,,,cps,1.73,,,ppm
Tm169,1.06e+003,,,cps,0.239,,,ppm
Yb174,2.18e+003,,,cps,1.47,,,ppm
Lu175,977,,,cps,0.246,,,ppm
U238,3.51e+003,,,cps,0.975,,,ppm
Ga69,5.52e+004,,,cps,12.7,,,ppm
Sample ID:,2613-183
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,285,,,cps,0.743,,,ppm
Bi209,497,,,cps,0.134,,,ppm
Cd111,199,,,cps,0.271,,,ppm
Cs133,1.83e+004,,,cps,3.35,,,ppm
Co59,1.1e+005,,,cps,25.6,,,ppm
Pb208,2.56e+005,,,cps,84.9,,,ppm
Rb85,2.16e+005,,,cps,61.8,,,ppm
Se82,15.7,,,cps,0.346,,,ppm
Ag107,4.91e+003,,,cps,2.24,,,ppm
Te130,72.3,,,cps,0.445,,,ppm
Ta181,1.06e+003,,,cps,8.2e-002,,,ppm
Tl205,1.36e+003,,,cps,0.278,,,ppm
Ge74,-296,,,cps,-0.325,,,ppm
Hf180,2.79e+003,,,cps,1.99,,,ppm
Mo98,5.8e+003,,,cps,5.35,,,ppm
Nb93,2.29e+004,,,cps,2.58,,,ppm
Sb121,1.24e+003,,,cps,1.07,,,ppm
Sn118,2.25e+003,,,cps,0.667,,,ppm
W184,795,,,cps,0.806,,,ppm
Zr90,1.81e+005,,,cps,74.5,,,ppm
As75,2.85e+004,,,cps,84.5,,,ppm
V51,3.07e+005,,,cps,163,,,ppm
Cr52,7.21e+005,,,cps,329,,,ppm
Ni60,1.07e+005,,,cps,150,,,ppm
Cu63,1.38e+005,,,cps,87.6,,,ppm
Zn66,3.19e+004,,,cps,77.7,,,ppm
Th232,1.48e+004,,,cps,4.19,,,ppm
Sc45,9.98e+004,,,cps,27.4,,,ppm
Y89,7.72e+004,,,cps,17.9,,,ppm
La139,7.47e+004,,,cps,17.6,,,ppm
Ce140,1.19e+005,,,cps,32.2,,,ppm
Pr141,1.84e+004,,,cps,4.22,,,ppm
Nd142,1.77e+004,,,cps,14.9,,,ppm
Sm152,4.89e+003,,,cps,3.89,,,ppm
Eu153,3.15e+003,,,cps,1.33,,,ppm
Gd158,5.57e+003,,,cps,4.76,,,ppm
Tb159,2.7e+003,,,cps,0.607,,,ppm
Dy164,3.72e+003,,,cps,3.05,,,ppm
Ho165,2.75e+003,,,cps,0.643,,,ppm
Er166,2.76e+003,,,cps,1.88,,,ppm
Tm169,1.1e+003,,,cps,0.248,,,ppm
Yb174,2.5e+003,,,cps,1.68,,,ppm
Lu175,1.04e+003,,,cps,0.262,,,ppm
U238,5.97e+003,,,cps,1.66,,,ppm
Ga69,7.01e+004,,,cps,16.2,,,ppm
Sample ID:,2613-184
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,203,,,cps,0.511,,,ppm
Bi209,336,,,cps,8.75e-002,,,ppm
Cd111,162,,,cps,0.213,,,ppm
Cs133,6.07e+003,,,cps,1.07,,,ppm
Co59,1.31e+005,,,cps,29.6,,,ppm
Pb208,2.69e+005,,,cps,86.2,,,ppm
Rb85,1.11e+005,,,cps,30.7,,,ppm
Se82,-10.4,,,cps,-0.222,,,ppm
Ag107,5.61e+003,,,cps,2.47,,,ppm
Te130,-56.6,,,cps,-0.336,,,ppm
Ta181,613,,,cps,4.59e-002,,,ppm
Tl205,832,,,cps,0.164,,,ppm
Ge74,-233,,,cps,-0.247,,,ppm
Hf180,1.94e+003,,,cps,1.34,,,ppm
Mo98,1.89e+003,,,cps,1.68,,,ppm
Nb93,1.28e+004,,,cps,1.39,,,ppm
Sb121,267,,,cps,0.224,,,ppm
Sn118,1.84e+003,,,cps,0.528,,,ppm
W184,547,,,cps,0.537,,,ppm
Zr90,1.11e+005,,,cps,44.1,,,ppm
As75,2.03e+004,,,cps,58.3,,,ppm
V51,4.2e+005,,,cps,216,,,ppm
Cr52,8.13e+005,,,cps,359,,,ppm
Ni60,1.06e+005,,,cps,144,,,ppm
Cu63,1.11e+005,,,cps,68.,,,ppm
Zn66,3.26e+004,,,cps,76.7,,,ppm
Th232,7.59e+003,,,cps,2.08,,,ppm
Sc45,2.07e+005,,,cps,54.8,,,ppm
Y89,7.93e+004,,,cps,17.7,,,ppm
La139,4.85e+004,,,cps,11.1,,,ppm
Ce140,8.29e+004,,,cps,21.7,,,ppm
Pr141,1.44e+004,,,cps,3.2,,,ppm
Nd142,1.43e+004,,,cps,11.7,,,ppm
Sm152,4.18e+003,,,cps,3.22,,,ppm
Eu153,2.77e+003,,,cps,1.13,,,ppm
Gd158,5.32e+003,,,cps,4.4,,,ppm
Tb159,2.66e+003,,,cps,0.578,,,ppm
Dy164,4.08e+003,,,cps,3.24,,,ppm
Ho165,2.81e+003,,,cps,0.635,,,ppm
Er166,2.8e+003,,,cps,1.85,,,ppm
Tm169,1.19e+003,,,cps,0.26,,,ppm
Yb174,2.53e+003,,,cps,1.65,,,ppm
Lu175,1.11e+003,,,cps,0.27,,,ppm
U238,2.23e+003,,,cps,0.597,,,ppm
Ga69,6.16e+004,,,cps,13.7,,,ppm
Sample ID:,2613-185
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,132,,,cps,0.341,,,ppm
Bi209,254,,,cps,6.79e-002,,,ppm
Cd111,162,,,cps,0.218,,,ppm
Cs133,3.2e+003,,,cps,0.58,,,ppm
Co59,1.46e+005,,,cps,33.8,,,ppm
Pb208,2.26e+005,,,cps,74.3,,,ppm
Rb85,6.43e+004,,,cps,18.2,,,ppm
Se82,35.8,,,cps,0.782,,,ppm
Ag107,4.94e+003,,,cps,2.23,,,ppm
Te130,28.7,,,cps,0.175,,,ppm
Ta181,335,,,cps,2.57e-002,,,ppm
Tl205,642,,,cps,0.13,,,ppm
Ge74,-328,,,cps,-0.356,,,ppm
Hf180,1.54e+003,,,cps,1.09,,,ppm
Mo98,1.64e+003,,,cps,1.5,,,ppm
Nb93,6.96e+003,,,cps,0.777,,,ppm
Sb121,214,,,cps,0.184,,,ppm
Sn118,1.51e+003,,,cps,0.442,,,ppm
W184,371,,,cps,0.372,,,ppm
Zr90,8.2e+004,,,cps,33.3,,,ppm
As75,2.25e+004,,,cps,66.1,,,ppm
V51,8.35e+004,,,cps,44.,,,ppm
Cr52,1.29e+006,,,cps,584,,,ppm
Ni60,1.1e+005,,,cps,153,,,ppm
Cu63,8.08e+004,,,cps,50.7,,,ppm
Zn66,3.12e+004,,,cps,75.2,,,ppm
Th232,3.46e+003,,,cps,0.974,,,ppm
Sc45,2.86e+005,,,cps,77.7,,,ppm
Y89,8.65e+004,,,cps,19.8,,,ppm
La139,3.05e+004,,,cps,7.12,,,ppm
Ce140,4.94e+004,,,cps,13.3,,,ppm
Pr141,1.06e+004,,,cps,2.42,,,ppm
Nd142,1.16e+004,,,cps,9.71,,,ppm
Sm152,3.65e+003,,,cps,2.88,,,ppm
Eu153,2.48e+003,,,cps,1.04,,,ppm
Gd158,4.36e+003,,,cps,3.69,,,ppm
Tb159,2.65e+003,,,cps,0.59,,,ppm
Dy164,4.22e+003,,,cps,3.43,,,ppm
Ho165,3.07e+003,,,cps,0.712,,,ppm
Er166,3.04e+003,,,cps,2.05,,,ppm
Tm169,1.42e+003,,,cps,0.317,,,ppm
Yb174,2.9e+003,,,cps,1.94,,,ppm
Lu175,1.19e+003,,,cps,0.296,,,ppm
U238,1.18e+003,,,cps,0.324,,,ppm
Ga69,5.06e+004,,,cps,11.5,,,ppm
Sample ID:,2613-186
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,203,,,cps,0.514,,,ppm
Bi209,430,,,cps,0.112,,,ppm
Cd111,162,,,cps,0.214,,,ppm
Cs133,6.19e+003,,,cps,1.1,,,ppm
Co59,1.4e+005,,,cps,31.6,,,ppm
Pb208,2.65e+005,,,cps,85.2,,,ppm
Rb85,1.03e+005,,,cps,28.6,,,ppm
Se82,36.7,,,cps,0.785,,,ppm
Ag107,5.64e+003,,,cps,2.49,,,ppm
Te130,-28.8,,,cps,-0.172,,,ppm
Ta181,540,,,cps,4.06e-002,,,ppm
Tl205,813,,,cps,0.161,,,ppm
Ge74,-642,,,cps,-0.684,,,ppm
Hf180,1.88e+003,,,cps,1.3,,,ppm
Mo98,1.92e+003,,,cps,1.72,,,ppm
Nb93,1.23e+004,,,cps,1.35,,,ppm
Sb121,373,,,cps,0.314,,,ppm
Sn118,2.37e+003,,,cps,0.681,,,ppm
W184,515,,,cps,0.507,,,ppm
Zr90,1.05e+005,,,cps,41.8,,,ppm
As75,3.07e+004,,,cps,88.4,,,ppm
V51,2.02e+005,,,cps,105,,,ppm
Cr52,9.94e+005,,,cps,441,,,ppm
Ni60,1.11e+005,,,cps,151,,,ppm
Cu63,1.62e+005,,,cps,99.7,,,ppm
Zn66,3.31e+004,,,cps,78.3,,,ppm
Th232,7.85e+003,,,cps,2.17,,,ppm
Sc45,2.1e+005,,,cps,56.,,,ppm
Y89,7.14e+004,,,cps,16.1,,,ppm
La139,4.69e+004,,,cps,10.8,,,ppm
Ce140,7.85e+004,,,cps,20.7,,,ppm
Pr141,1.32e+004,,,cps,2.93,,,ppm
Nd142,1.47e+004,,,cps,12.1,,,ppm
Sm152,4.04e+003,,,cps,3.13,,,ppm
Eu153,2.68e+003,,,cps,1.1,,,ppm
Gd158,4.92e+003,,,cps,4.09,,,ppm
Tb159,2.6e+003,,,cps,0.566,,,ppm
Dy164,4.e+003,,,cps,3.19,,,ppm
Ho165,2.8e+003,,,cps,0.637,,,ppm
Er166,2.77e+003,,,cps,1.84,,,ppm
Tm169,1.11e+003,,,cps,0.243,,,ppm
Yb174,2.47e+003,,,cps,1.61,,,ppm
Lu175,1.08e+003,,,cps,0.265,,,ppm
U238,2.51e+003,,,cps,0.676,,,ppm
Ga69,4.84e+004,,,cps,10.8,,,ppm
Sample ID:,2613-187
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,163,,,cps,0.421,,,ppm
Bi209,176,,,cps,4.71e-002,,,ppm
Cd111,143,,,cps,0.193,,,ppm
Cs133,4.61e+003,,,cps,0.835,,,ppm
Co59,1.3e+005,,,cps,30.2,,,ppm
Pb208,1.99e+005,,,cps,65.2,,,ppm
Rb85,7.48e+004,,,cps,21.2,,,ppm
Se82,-146,,,cps,-3.19,,,ppm
Ag107,1.56e+004,,,cps,7.02,,,ppm
Te130,-143,,,cps,-0.873,,,ppm
Ta181,355,,,cps,2.72e-002,,,ppm
Tl205,567,,,cps,0.115,,,ppm
Ge74,-340,,,cps,-0.369,,,ppm
Hf180,1.61e+003,,,cps,1.14,,,ppm
Mo98,1.2e+003,,,cps,1.1,,,ppm
Nb93,6.98e+003,,,cps,0.779,,,ppm
Sb121,232,,,cps,0.199,,,ppm
Sn118,1.58e+003,,,cps,0.463,,,ppm
W184,262,,,cps,0.263,,,ppm
Zr90,9.28e+004,,,cps,37.7,,,ppm
As75,2.41e+004,,,cps,70.9,,,ppm
V51,4.65e+005,,,cps,245,,,ppm
Cr52,6.07e+005,,,cps,275,,,ppm
Ni60,8.15e+004,,,cps,113,,,ppm
Cu63,1.22e+005,,,cps,76.5,,,ppm
Zn66,2.86e+004,,,cps,69.1,,,ppm
Th232,4.92e+003,,,cps,1.38,,,ppm
Sc45,1.97e+005,,,cps,53.4,,,ppm
Y89,7.36e+004,,,cps,16.9,,,ppm
La139,3.82e+004,,,cps,8.93,,,ppm
Ce140,5.91e+004,,,cps,15.9,,,ppm
Pr141,1.17e+004,,,cps,2.67,,,ppm
Nd142,1.25e+004,,,cps,10.5,,,ppm
Sm152,4.11e+003,,,cps,3.24,,,ppm
Eu153,2.95e+003,,,cps,1.24,,,ppm
Gd158,4.39e+003,,,cps,3.71,,,ppm
Tb159,2.4e+003,,,cps,0.533,,,ppm
Dy164,3.69e+003,,,cps,3.,,,ppm
Ho165,2.71e+003,,,cps,0.628,,,ppm
Er166,2.46e+003,,,cps,1.66,,,ppm
Tm169,989,,,cps,0.221,,,ppm
Yb174,2.27e+003,,,cps,1.52,,,ppm
Lu175,969,,,cps,0.242,,,ppm
U238,1.35e+003,,,cps,0.37,,,ppm
Ga69,6.33e+004,,,cps,14.5,,,ppm
Sample ID:,2613-188
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,187,,,cps,0.478,,,ppm
Bi209,262,,,cps,6.92e-002,,,ppm
