,CRM ID,Ag,Al,Al2O3,As,Au,B,Ba,BaO,Be,BeO,Bi,C,C-(Carbonate),C-(Graphite),Ca,CaO,Cd,Ce,CeO2,Cl,Co,Cr,Cr2O3,Cs,Cu,Cu-Res(4A),Cu-Sol(CN),Cu-Sol(H2SO4),Cu-Tot(Calc),Dy,Dy2O3,Er,Er2O3,Eu,Eu2O3,F,Fe,Fe(Calc),Fe2+,Fe2O3,Fe3+,Fe3O4,FeO,Ga,Ga2O3,Gd,Gd2O3,Ge,H2O-,Hf,HfO2,Hg,Ho,Ho2O3,In,Ir,K,K2O,LOI1000,LOI300-1000,LOI371,LOI425,LOI650,La,La2O3,Li,Li2O,Lu,Lu2O3,MOI300,MassRec,Mg,MgO,Mn,MnO,Mo,Na,Na2O,Nb,Nb2O5,Nd,Nd2O3,Ni,NiO,Os,P,P2O5,Pb,PbO,Pd,Pr,Pr6O11,Pt,Rb,Re,Rh,Ru,S,S-(Sulphate),S-(Sulphide),SG,SO3,Sb,Sc,Se,Si,SiO2,Sm,Sm2O3,Sn,SnO2,Sr,SrO,Ta,Ta2O5,Tb,Tb4O7,Te,Th,ThO2,Ti,TiO2,Tl,Tm,Tm2O3,U,U3O8,V,V2O5,W,WO3,Y,Y2O3,Yb,Yb2O3,Zn,ZnO,Zr,ZrO2
159,OREAS 22P,,,,,0.00198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,OREAS 22b,0.099,,,0.99,0.00198,,6.9,,,,0.02,,,,,,0.099,,,,0.61,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,5.0,,,,,1.98,,,,,,,,,,,,,,,0.198,,,,,,,0.6,,,,,,,,,0.6,,,,,,,0.1,,,,0.198,,,,,,10.0,,,
161,OREAS 22c,0.099,,,0.99,0.00198,,4.5,,,,0.099,,,,,,0.099,,,,0.81,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,6.3,,,,,1.0,,,,,,,,,,,,,,,0.2,,,,,,,0.69,,,,,,,,,0.7,,,,,,,0.18,,,,0.27,,,,,,7.5,,,
162,OREAS 22d,0.099,1321.13,,0.99,0.00099,,6.16929,,,,0.099,,,,,,0.099,,,,0.850045,,,,9.23333,,,,,,,,,,,,4678.4,,,,,,,,,,,,,0.215,,,,,,,,,,,,,,,,14.22,,,,,,,,109.267,,2.35976,,,0.88,,,,4.37883,,,,,0.717861,,,,,,0.539,,,,,,,,,0.209,,,,,,,0.605213,,,,,,,,,0.666117,,214.18,,,,,0.177669,,2.63333,,0.21,,0.685333,,,,6.69912,,7.02133,
163,OREAS 22e,0.0495,938.083,,,0.00099,,3.916,,0.0611458,,0.0198,,,,,,0.0198,2.25938,,,0.681111,6.47222,,0.0954167,7.974,,,,,,,,,,,,3464.26,,,,,,,0.238519,,,,,,0.2335,,,,,0.00495,,99.0,,,,,,,1.09208,,14.6229,,,,,,99.0,,80.1407,,1.04917,49.5,,1.02733,,0.902467,,5.22556,,,49.5,,0.99,,,,,,0.32,0.00198,,,49.5,,,,,0.186722,,0.99,,,0.196667,,0.645833,,0.642963,,0.099,,0.0495,,0.0495,0.676952,,313.704,,0.0198,0.0495,,0.132593,,2.64815,,0.166667,,0.628796,,,,4.33296,,7.90714,
164,OREAS 22f,0.0297,1101.63,,,0.00099,,4.79422,,0.0670833,,,,,,274.863,,,1.89905,,,1.0337,,,0.0809524,10.645,,,,,,,,,,,,5749.53,,,,,,,0.318028,,,,,,0.196383,,,,,,,99.0,,,,,,,0.975648,,16.1907,,,,,,199.153,,75.9733,,1.99697,101.876,,1.18612,,,,6.78476,,,,,,,,,,,0.417917,,,,,,,,,0.176533,0.288889,,,,,,0.730926,,3.74537,,,,,,,0.539111,,303.575,,,,,0.1092,,2.98148,,0.197278,,0.587433,,,,5.30685,,6.90405,
165,OREAS 22h,0.0495,1008.94,,,0.00099,,5.23571,,0.099,,,,,,91.0889,,,2.11,,,0.533333,,,0.0901111,6.20143,,,,,,,,,,,,3565.67,,,,,,,0.232222,,,,,,0.211852,,,,,,,99.0,,,,,,,1.01513,,14.9347,,,,,,99.0,,65.1733,,0.604,99.0,,0.682619,,,,4.6563,,,49.5,,0.82963,,,,,,0.365963,0.00198,,,99.0,,,,,0.163333,0.104167,,,,,,0.4125,,0.754444,,,,,,,0.618792,,244.237,,0.0198,,,0.122778,,,,0.168889,,0.611296,,,,2.69048,,7.071,
166,OREAS 22i,,949.518,,,0.00099,,4.93889,,0.065,,,,,,105.958,,0.0198,1.89278,,,0.702083,8.64286,,0.0933333,7.17,,,,,,,,,,,,3864.44,,,,,,,0.207619,,,,,,0.202593,,,,,0.00495,,99.0,,,,,,,0.917542,,16.3258,,,,,,99.0,,101.275,,0.647604,,,0.491481,,,,4.34905,,,49.5,,,,,,,,0.351667,0.00198,,,99.0,,,,,0.159238,0.147222,0.99,,,,,0.453704,,0.817143,,0.099,,,,0.0495,0.642333,,199.214,,0.0198,,,0.111667,,2.0,,0.1,,0.584556,,,,6.27917,,6.76667,
167,OREAS 230,0.130245,34874.8,,17.0717,0.336644,19.0952,16.6728,,0.193125,,,,,,26760.9,,0.224411,7.08772,,,30.5508,12.3828,,0.273658,168.642,,,,,2.10015,,1.20005,,0.338933,,,55815.5,,,,,,,10.1059,,1.87302,,0.127,,0.482155,,,0.407038,,0.0249472,,806.364,,,,,,,2.79355,,9.44917,,0.156333,,,,16914.2,,735.309,,0.641877,1024.07,,3.39175,,4.94643,,53.9725,,,383.158,,8.2394,,,1.0355,,0.0154333,2.69165,0.00161905,,,1866.2,,,,,0.31851,5.56158,,,,1.3795,,0.474992,,36.7589,,0.0099,,0.310769,,0.0492611,0.339582,,3327.02,,0.0796667,0.1672,,0.0926795,,139.14,,5.44119,,11.5565,,1.11698,,84.6125,,15.999,
168,OREAS 231,0.176976,71351.6,,27.2075,0.542384,,111.926,,0.362388,,0.0370769,,,,74707.8,,0.352416,10.9688,,,44.6606,132.96,,0.558985,160.584,,,,,3.71388,,2.35192,,0.934528,,,80534.4,,,,,,,15.9453,,3.23155,,,,1.62637,,,0.822332,,0.0701736,,2883.12,,,,,,,4.46733,,11.0844,,0.325621,,,,39033.7,,1388.2,,0.862325,17488.0,,3.49691,,7.98042,,88.2646,,,392.869,,12.7862,,,1.65613,,,8.07506,0.00198,,,2200.31,,,,,0.707202,42.1912,,,,2.49092,,0.900672,,179.484,,0.22091,,0.576312,,0.0682143,0.718061,,6171.88,,0.117195,0.330919,,0.198776,,285.201,,15.1798,,20.7157,,2.20486,,112.602,,50.4178,
