,CRM ID,Ag,Al,Al2O3,As,Au,B,Ba,BaO,Be,BeO,Bi,C,C-(Carbonate),C-(Graphite),Ca,CaO,Cd,Ce,CeO2,Cl,Co,Cr,Cr2O3,Cs,Cu,Cu-Res(4A),Cu-Sol(CN),Cu-Sol(H2SO4),Cu-Tot(Calc),Dy,Dy2O3,Er,Er2O3,Eu,Eu2O3,F,Fe,Fe(Calc),Fe2+,Fe2O3,Fe3+,Fe3O4,FeO,Ga,Ga2O3,Gd,Gd2O3,Ge,H2O-,Hf,HfO2,Hg,Ho,Ho2O3,In,Ir,K,K2O,LOI1000,LOI300-1000,LOI371,LOI425,LOI650,La,La2O3,Li,Li2O,Lu,Lu2O3,MOI300,MassRec,Mg,MgO,Mn,MnO,Mo,Na,Na2O,Nb,Nb2O5,Nd,Nd2O3,Ni,NiO,Os,P,P2O5,Pb,PbO,Pd,Pr,Pr6O11,Pt,Rb,Re,Rh,Ru,S,S-(Sulphate),S-(Sulphide),SG,SO3,Sb,Sc,Se,Si,SiO2,Sm,Sm2O3,Sn,SnO2,Sr,SrO,Ta,Ta2O5,Tb,Tb4O7,Te,Th,ThO2,Ti,TiO2,Tl,Tm,Tm2O3,U,U3O8,V,V2O5,W,WO3,Y,Y2O3,Yb,Yb2O3,Zn,ZnO,Zr,ZrO2
0,AC18.10657,,,142316.0,0.495,,49.5,260.997,,1.27277,,1.98,,,,,84159.0,9.9,36.7345,,,46.0572,,368.625,0.817077,51.5305,,,,,4.41928,,2.25006,,1.6553,,,,,,113370.0,,,,19.591,,5.25668,,1.2934,,,,,0.832746,,0.198,,,9014.33,,,,,,18.285,,,,0.244766,,,,,71974.4,,1447.35,4.95,,30843.3,20.5868,,20.3479,,145.951,,,,3322.66,,,,4.54723,,,22.5368,,,,142.063,,,,,0.099,19.3592,,,510482.0,5.02656,,,,398.871,,1.24172,,0.775,,0.99,2.92663,,,18044.6,0.495,0.296667,,0.738875,,164.014,,4.95,,21.6675,,1.7587,,109.88,,138.219,
1,AC18.10658,,,130164.0,4.95,,49.5,75.3438,,4.95,,1.98,,,,,105960.0,9.9,10.6074,,,47.7109,,160.617,,164.147,,,,,4.25309,,2.72728,,0.919884,,,,,,131417.0,,,,16.0918,,3.65241,,1.12365,,,,,0.887344,,0.198,,,1153.04,47577.8,,,,,4.34139,,9.71728,,0.403623,,,,,66855.8,,2084.85,0.99,,26395.2,3.41353,,8.61444,,63.8083,,,,1222.0,,,,1.62096,,,,,,,1967.99,,,,,1.98,41.2221,,,471939.0,2.72937,,,,126.126,,4.95,,0.623667,,0.99,0.459332,,,12046.2,0.495,0.38266,,4.95,,338.069,,4.95,,23.4976,,2.56728,,97.2007,,71.8117,
2,AC18.10659,,,166466.0,4.95,,49.5,559.767,,1.90238,,0.099,,,,,93249.4,9.9,50.9749,,,33.8459,,152.59,5.36868,64.069,,,,,4.23599,,2.30137,,1.68081,,,,,,103976.0,,,,20.527,,5.26368,,1.66295,,,,,0.796858,,0.198,,,20724.7,,,,,,24.6313,,15.9172,,0.309409,,,,,50986.8,,1655.99,4.95,,25846.7,7.54987,,28.0001,,45.4487,,,,4213.48,,,,6.55797,,,102.384,,,,,,,,,0.099,24.9814,,,516799.0,5.90427,,2.2322,,577.552,,4.95,,0.704,,0.99,8.21796,,,12679.1,0.495,0.315905,,1.80223,,285.656,,4.95,,22.0328,,2.10682,,96.4761,,94.4754,
3,AC18.10660,,,113681.0,20.3334,,184.118,345.435,,2.08619,,1.0168,,,,,61274.2,9.9,62.3084,,,13.4373,,94.6692,6.94152,29.1472,,,,,4.95937,,2.83346,,1.16011,,,,,,54839.4,,,,15.7656,,5.57406,,1.80039,,,,,0.954143,,0.198,,,28491.1,105422.0,,,,,32.51,,58.2096,,0.37275,,,,,59414.6,,931.386,0.99,,13171.6,10.8257,,29.3474,,23.8864,,,,1995.49,,,,7.6481,,,129.756,,,,405.836,,,,,1.98,11.596,,,554594.0,5.9369,,3.88363,,121.945,,4.95,,0.805333,,0.99,13.4404,,,8292.5,0.512824,0.405581,,2.4143,,89.1225,,19.8,,26.6669,,2.63838,,76.8661,,196.997,
4,AC18.10661,,,167018.0,4.95,,49.5,291.901,,0.978537,,1.98,,,,,56166.8,9.9,32.7786,,,18.5679,,96.781,0.833107,47.9028,,,,,3.47164,,1.98648,,1.11087,,,,,,61419.8,,,,18.0979,,3.91527,,1.02133,,,,,0.655667,,0.198,,,7631.7,49017.8,,,,,15.2848,,15.9041,,0.28464,,,,,32658.4,,884.67,4.95,,42710.3,3.70518,,18.9081,,31.2601,,,,2330.39,,,,4.27196,,,17.4345,,,,,,,,,1.98,15.5311,,,576651.0,4.05993,,,,633.686,,4.95,,0.559733,,0.99,1.81279,,,7130.97,0.495,0.271884,,0.525268,,129.992,,4.95,,18.3007,,1.84803,,79.3092,,126.564,
5,AC18.10662,,,146523.0,7.5875,,24.4444,1035.85,,2.41665,,0.930401,,,,,25145.5,9.9,82.4716,,,9.66623,,84.6666,12.0269,24.92,,,,,6.39955,,3.26444,,1.50099,,,,,,46537.2,,,,20.3256,,7.56195,,1.68009,,6.98841,,,1.16816,,0.198,,,35238.4,11886.7,,,,,41.944,,54.7256,,0.402674,,,,,14096.7,,513.944,4.95,,26575.7,11.8041,,38.4082,,,,,,2033.02,30.8633,,,9.91219,,,174.764,,,,972.354,,,,,1.98,8.372,,,677470.0,8.05296,,4.92812,,157.872,,4.95,,1.1007,,0.99,16.3024,,,6607.18,0.977369,0.445998,,4.8534,,64.766,,13.4555,,32.3943,,2.81935,,89.2073,,244.316,
6,AC18.10663,,,162432.0,501.354,,1521.5,707.281,,3.32913,,22.5235,,,,,701.387,9.9,102.178,,,2.07521,,173.212,11.8114,32.5457,,,,,5.86532,,3.39524,,1.40535,,,,,,41275.0,,,,21.7834,,6.43853,,2.03657,,,,,1.17858,,0.198,,,31738.4,38289.4,,,,,52.0238,,48.1423,,0.466705,,,,,6693.23,,42.2842,4.95,,2268.09,16.4382,,41.9242,,,,,,782.956,22.5833,,,11.5727,,,150.196,,,,,,,,,6.19058,15.8157,,,699879.0,7.42737,,19.4762,,77.9847,,1.34717,,0.958217,,0.99,18.3521,,,8216.88,0.830808,0.507184,,3.43703,,113.521,,93.4054,,31.4419,,3.23262,,41.7167,,238.14,
7,AC18.10664,,74609.4,,,,,34.6154,,,,,213878.0,,,6639.11,,,7.51305,,283.41,60935.6,128.555,,,23358.3,,,,,0.547877,,,,,,24353.1,11133.0,,,,,,,11.6418,,0.637127,,,,,,,,,,,804.744,,,,,,,45.6502,,41296.8,,,,,,5255.6,,53533.1,,2.94178,2709.93,,,,,,231094.0,,,3501.66,,,,,1.37889,,,,,,,3753.07,,,,,,,,28499.1,,,,66.2352,,38.2089,,,,0.117312,,,,,1334.8,,,0.0495,,,,25.6227,,,,17.6113,,,,50.5492,,2476.33,
8,AC18.10665,,45654.1,,15.9202,,,15.1257,,,,,542148.0,,,2418.98,,2.31311,1.65793,,239.583,29731.3,23.369,,,5644.84,,,,,0.173657,,,,,,14293.6,8735.28,,,,,,,,,,,,,,,,,,0.179234,,397.506,,,,,,,1.13135,,18059.4,,,,,,1069.59,,28364.0,,1.21149,2904.0,,,,,,91936.9,,,1445.8,,,,,0.21299,,,,,,,5523.67,,,,,,,,7553.98,,,,1.16954,,15.6903,,,,0.0495,,,,,282.19,,,0.0495,,,,7.80025,,98.3143,,3.01244,,,,759.497,,1138.99,
9,AC18.13566,,189697.0,,,,,7852.32,,,,,,,,3583.1,,,31176.6,,,,1311.98,,,,,,,,,,,,0.561831,,,15921.5,,,,,,,,,,,,,,,,0.248949,,,,,,,,,,,5213.27,,,,0.109122,,,,50656.0,,,,,,,,,3556.51,,3582.89,,,3517.54,,,,2034.64,1491.92,,511.643,,,238.943,,1813.01,,,,,,,,175932.0,,15.3733,,,,1878.27,,,,,,,6.17799,,,,,0.187343,,,,59.5163,,38.0085,,583.695,,1.06582,,1970.57,,34230.8,
10,AC18.13567,,173731.0,,,,,7302.05,,,,,,,,5803.87,,,27889.0,,,,3605.51,,,,,,,,,,,,0.490876,,,40528.5,,,,,,,,,,,,,,,,0.235106,,,,,,,,,,,4616.17,,,,0.106154,,,,45936.7,,496.582,,,,,,,3072.41,,3459.42,,,3548.02,,,,1724.14,1401.41,,442.858,15.5333,,200.103,,2582.83,,,,,,,,170991.0,,13.0202,,,,1747.51,,3.13287,,,,,,,,,,0.159337,,,,64.1845,,85.9782,,560.627,,1.11049,,2061.27,,31321.9,
11,OREAS 100a,,,,,,,,,,,,,,,,,,463.0,,,18.1,,,,169.0,,,,,23.2,,14.9,,3.71,,,46600.0,,,,,,,,,23.6,,,,,,,4.81,,,,39400.0,,,,,,,260.0,,,,2.26,,,,8390.0,,537.0,,24.1,,,,,152.0,,19.8,,,529.0,,19.8,,,47.1,,,,,,,,,,,,,,,,,23.6,,,,,,,,3.8,,,51.6,,2390.0,,,2.31,,135.0,,36.7,,,,142.0,,14.9,,,,,
12,OREAS 101a,,,,,,,,,,,,,,,,,,1396.0,,,48.8,,,,434.0,,,,,33.3,,19.5,,8.06,,,110600.0,,,,,,,,,43.4,,,,,,,6.46,,,,23400.0,,,,,,,816.0,,,,2.66,,,,12300.0,,964.0,,21.9,,,,,403.0,,8.14,,,1268.0,,23.0,,,134.0,,,,,,,,,,,,,,,,,48.8,,,,,,,,5.92,,,36.6,,3950.0,,,2.9,,422.0,,83.0,,,,183.0,,17.5,,,,,
13,OREAS 101b,,,,,,,,,,,,,,,,,,1331.0,,,47.0,,,,416.0,,,,,32.1,,18.7,,7.77,,,108000.0,,,,,,,,,41.0,,,,,,,6.34,,,,24200.0,,,,,,,789.0,,,,2.58,,,,12300.0,,931.0,,20.9,,,,,378.0,,8.2,,,1197.0,,23.0,,,127.0,,,,,,,,,,,,,,,,,48.0,,,,,,,,5.37,,,37.1,,3860.0,,,2.66,,396.0,,80.0,,,,178.0,,17.6,,,,,
14,OREAS 102a,,,,,,,,,,,,,,,,,,587.0,,,41.0,,,,289.0,,,,,18.1,,11.1,,3.89,,,57800.0,,,,,,,,,20.9,,,,,,,3.56,,,,36300.0,,,,,,,323.0,,,,1.7,,,,13600.0,,465.0,,14.3,,,,,180.0,,18.0,,,601.0,,14.0,,,58.0,,,,,,,,,,,,,,,,,24.7,,,,,,,,3.05,,,39.6,,1720.0,,,1.64,,662.0,,35.0,,,,105.0,,10.9,,,,,
15,OREAS 104,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,7.11,,3.9,,1.29,,,,,,,,,,,,9.4,,,,,,,1.36,,,,23900.0,,,,,,,48.8,,,,0.48,,,,,,,,,,,,,49.5,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,10.5,,,,,,,,1.39,,,152.0,,,,,0.57,,126.0,,,,,,,,3.43,,,,,
16,OREAS 105,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,12.2,,7.5,,1.5,,,,,,,,,,,,13.0,,,,,,,2.44,,,,19700.0,,,,,,,51.0,,,,0.992,,,,,,,,,,,,,64.3,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,14.8,,,,,,,,2.18,,,369.0,,,,,1.14,,532.0,,,,,,,,7.3,,,,,
17,OREAS 106,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,19.0,,12.2,,2.0,,,,,,,,,,,,18.2,,,,,,,3.9,,,,15900.0,,,,,,,54.0,,,,1.66,,,,,,,,,,,,,84.0,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,20.7,,,,,,,,3.1,,,644.0,,,,,1.88,,1143.0,,,,,,,,12.1,,,,,
18,OREAS 10P,,,,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,OREAS 10Pb,,,,,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,OREAS 10c,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,OREAS 110,9.9,,,103.0,,,,,,,,,,,,,1.98,,,,32.0,,,,1600.0,,,,,,,,,,,,247000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,
22,OREAS 111,19.8,,,217.0,,,,,,,,,,,,,14.0,,,,457.0,,,,23000.0,,,,,,,,,,,,341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099.0,,,
23,OREAS 111b,19.8,,,212.0,,,,,,,,,,,,,14.8,,,,488.0,,,,24400.0,,,,,,,,,,,,355000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4370.0,,,
24,OREAS 112,17.0,,,240.0,,,,,,,,,,,,,15.0,,,,547.0,,,,51300.0,,,,,,,,,,,,333000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4302.0,,,
25,OREAS 113,25.0,,,238.0,,,,,,,,,,,,,16.0,,,,754.0,,,,133000.0,,,,,,,,,,,,280000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4158.0,,,
26,OREAS 120,,46841.6,91421.4,,,,972.821,1088.35,1.13333,,,481.259,,,639.185,,,46.2807,,,4.21966,46.8746,,0.742111,,,,,,2.39539,,,,1.03007,,,15774.9,,,22687.0,,,,10.7271,,3.04426,,,,5.9718,,,0.475486,,0.0137,,26643.0,33066.3,21271.2,,,,,21.1054,,4.81773,,0.212012,,,,2397.98,4104.38,793.643,1027.56,6.97074,2344.36,,7.69915,,19.0881,,8.22061,,,120.769,286.242,17.5321,,,5.01085,,,86.6865,,,,,,,,,,2.72966,,379954.0,818566.0,3.74498,,0.672837,,126.561,,0.547433,,0.43703,,,5.45063,,2433.38,4266.59,0.42968,0.199154,,40.7605,,21.3241,,,,12.1749,,1.34403,,13.0701,,255.412,
27,OREAS 121,,46073.4,91090.9,,,,974.531,1105.39,1.54533,,,454.907,,,830.954,1062.96,,45.6003,,,4.36488,34.7391,,0.747861,,,,,,2.45621,,1.36644,,1.03313,,,16155.2,,,23223.1,,,,10.4181,,3.06841,,,,6.20525,,,0.48707,,,,26955.9,32945.0,21483.3,,,,,20.8406,,4.79307,,0.211572,,,,2472.45,4264.3,777.378,1022.13,7.43445,2391.26,,7.76911,,19.0605,,8.82643,,,142.014,,17.4161,,,,,,86.2039,,,,,,,,,0.0682,2.91599,,374499.0,814637.0,3.67956,,0.6653,,134.787,,0.533722,,0.430981,,,5.57029,,2503.47,4293.09,0.429224,0.197031,,215.139,,21.564,,0.390583,,12.6228,,1.41796,,13.118,,260.772,
28,OREAS 122,,46866.5,91083.2,,,,974.166,1114.3,1.63137,,,461.196,,,952.097,1298.5,,46.1303,,,4.36176,,,0.752194,3.37611,,,,,2.47766,,1.393,,1.05438,,,16263.0,,,23439.1,,,,10.5844,,3.09916,,,,5.9367,,,0.500369,,0.0138,,27132.3,32908.3,21765.3,,,,,20.9183,,4.79493,,0.234618,,,,2524.72,4366.23,772.18,1026.56,7.45362,2439.53,,7.75633,,19.2849,,9.56597,,,167.297,429.187,17.6021,,,5.06075,,,87.3708,,,,,,,,,,2.95504,,374482.0,817228.0,3.74068,,0.679655,,141.091,,0.534352,,0.467066,,,5.55839,,2489.15,4314.07,0.40766,0.200152,,417.794,,23.912,,,,12.7744,,1.41329,,13.5385,,46.0854,
29,OREAS 123,,45979.1,90676.8,5.18573,,,1000.67,1113.64,1.74019,,,516.19,,,993.236,1402.09,,46.7052,,,4.48638,53.6245,,0.753013,,,,,,2.56883,,1.44639,,1.08907,,,16105.0,,,23236.6,,,,10.628,,3.12901,,,,5.99929,,,0.510313,,0.0143,,26810.4,32735.7,22375.0,,,,,21.2074,,4.65899,,0.242798,,,,2500.73,4266.21,746.377,997.698,6.9344,2446.65,,7.6669,,19.4662,,9.64754,,,224.521,517.578,18.2558,,,5.15357,,,86.6805,,,,,,,,,0.0845238,2.97894,,,817924.0,3.87284,,0.696581,,156.111,,0.548852,,0.4555,,,5.73294,,2527.54,4421.31,0.41652,0.208286,,852.863,,24.2208,,0.520333,,13.5858,,1.46965,,13.7842,,47.4818,
30,OREAS 124,,46237.5,89875.1,,,,1016.8,1131.48,1.83067,,,605.338,,,879.842,1226.93,,47.6145,,,4.25504,51.1601,,0.781417,,,,,,2.82445,,1.60494,,1.14572,,,15612.1,,,,,,,10.5352,,3.46944,,,,6.21927,,,0.578595,,0.0137222,,26228.1,32335.8,22856.9,,,,,21.568,,4.60637,,0.256984,,,,2242.02,3821.78,699.202,904.751,7.35893,2324.55,,7.84271,,20.767,,9.30644,,,331.701,751.023,20.2154,,,5.39372,,,86.0899,,,,,,,,,0.0832667,3.01351,,381619.0,815244.0,4.20954,,0.711966,,188.248,,0.5613,,0.483204,,,5.74441,,2544.63,4406.55,0.414987,0.222574,,1794.02,,23.2681,,0.71342,,14.1757,,1.62655,,14.345,,259.662,
31,OREAS 12a,,,,,11.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OREAS 130,6.56754,54200.4,,205.904,,,4129.69,,2.80472,,3.10539,35839.4,,,18378.6,,29.5981,57.9811,,,28.6322,47.594,,6.45831,226.962,,,,,3.63167,,2.13664,,0.89119,,,73887.0,,,,,,,13.9883,,4.43742,,,,3.28611,,0.674603,0.735294,,0.211954,,49626.9,,,,,,,26.8584,,50.4962,,0.310269,,,,10923.7,,1876.65,,8.64881,1932.33,,6.81038,,27.6034,,35.8645,,,873.013,,1297.33,,,7.17667,,,235.992,,,,59416.0,,,,,5.81345,8.63919,,260575.0,,5.0861,,1.41736,,157.603,,,,0.63019,,0.174984,10.131,,1768.73,,35.4302,0.300133,,9.97909,,79.8834,,2.81111,,19.6215,,2.04205,,17105.0,,18.9618,
33,OREAS 131a,30.85,,87950.8,90.672,,,850.825,,,,,,,,,78061.8,81.287,,,,23.1391,,,,323.75,,,,,,,,,,,,58950.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53944.1,,,,,,,,,,,,,,,17151.8,,,,,,,,,,48167.1,,,,,46.9801,,,,446119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28324.5,,,
34,OREAS 131b,33.3025,,86597.4,81.5814,,,795.0,,,,,,,,,76760.4,92.856,,,,19.3543,,,,216.833,,,,,,,,,,,,57059.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53547.2,,,,,,,,,,,,,,,18814.6,,,,,,,,,,50142.9,,,,,50.2642,,,,442098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30412.1,,,
35,OREAS 132a,57.0235,,76222.3,146.436,,,881.74,,,,,,,,,73293.1,167.4,,,,42.4514,,,,457.925,,,,,,,,,,,,77919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48327.9,,,,,,,,,,,,,,,36424.8,,,,,,,,,,80847.9,,,,,40.6453,,,,383496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49825.4,,,
36,OREAS 132b,60.6895,,74714.3,154.967,,,889.544,,,,,,,,,72090.8,174.08,,,,44.0731,,,,476.96,,,,,,,,,,,,78088.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47960.7,,,,,,,,,,,,,,,38616.7,,,,,,,,,,80247.9,,,,,52.5356,,,,381109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52532.3,,,
37,OREAS 133a,99.924,,67994.2,139.236,,,784.562,,,,,,,,,56688.9,296.371,,,,23.8573,,,,301.8,,,,,,,,,,,,79171.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38506.7,,,,,,,,,,,,,,,49032.9,,,,,,,,,,108183.0,,,,,175.032,,,,343620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108742.0,,,
38,OREAS 133b,104.173,,68105.0,144.115,,,799.342,,,,,,,,,56071.8,323.4,,,,22.4111,,,,327.1,,,,,,,,,,,,82089.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38315.6,,,,,,,,,,,,,,,50619.0,,,,,,,,,,111588.0,,,,,181.034,,,,341177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113476.0,,,
39,OREAS 134a,200.822,,26025.1,217.7,,,1500.26,,,,,,,,,63848.5,545.8,,,,100.162,,,,1290.67,,,,,,,,,,,,123213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35547.7,,,,,,,,,,,,,,,127865.0,,,,,,,,,,192749.0,,,,,115.48,,,,148131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172671.0,,,
40,OREAS 134b,208.568,,22378.2,224.25,,,1490.25,,,,,,,,,61771.9,569.34,,,,103.887,,,,1337.31,,,,,,,,,,,,126876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34535.5,,,,,,,,,,,,,,,133557.0,,,,,,,,,,207395.0,,,,,110.976,,,,129806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180279.0,,,
41,OREAS 135,55.6687,49388.3,,887.652,,,4435.06,,2.70188,,4.43883,34370.6,,,18970.0,,60.7555,69.5464,,,29.9379,42.3553,,5.5702,277.538,,,,,4.38443,,2.32802,,1.94035,,,91259.8,,,,,,,13.1148,,5.58725,,,,2.9836,,1.21123,0.8412,,0.90276,,43555.1,,,,,,,33.6737,,45.6874,,0.314433,,,,9875.02,,4492.31,,8.17414,,,0.458156,,31.9994,,34.2343,,,882.795,,17019.2,,,8.70613,,,203.898,,,,70033.1,,,,,37.2352,7.64777,,237386.0,,6.16601,,2.44717,,162.715,,,,0.769762,,0.186569,9.3448,,1629.72,,33.831,0.303333,,9.86235,,73.7656,,4.02941,,23.4968,,2.08817,,28006.3,,101.928,
42,OREAS 135b,52.8547,59478.1,111399.0,750.972,,106.07,3570.18,3926.0,2.69896,,2.71238,11438.9,,,4737.93,6650.44,68.9167,90.5941,,,7.328,103.998,,3.88796,130.714,,,,,5.2979,,2.91501,,2.12767,,,54145.2,,,,,,,18.1283,,6.4779,,3.26056,,2.73778,,0.908722,0.972071,,0.706333,,25708.7,30386.0,52212.9,,,,,44.9276,,22.3,,0.3698,,,,3684.86,6357.0,3388.15,,6.96741,949.689,1577.78,10.2954,,38.7009,,21.2833,,,450.371,1003.44,17115.5,,,10.4583,,,139.628,,,,30970.8,,,,,40.8881,9.45667,2.78967,306782.0,640126.0,7.25236,,4.0194,,124.552,,0.922827,,0.916696,,0.20037,12.8249,,2762.15,4634.29,5.47104,0.400333,,5.26235,,146.588,,3.36907,,28.9936,,2.68907,,27298.3,,95.96,
43,OREAS 136,151.021,40853.1,,2145.07,,,4108.93,,2.36897,,6.37128,28884.0,,,22539.0,,102.412,91.9836,,,28.683,35.6585,,4.56442,305.899,,,,,5.87952,,2.75262,,3.97238,,,115004.0,,,,,,,12.1949,,7.96887,,,,2.5046,,1.69963,1.024,,2.11828,,36140.0,,,,,,,46.5992,,38.4781,,0.322178,,,,8846.37,,9675.13,,8.2032,1460.18,,,,42.8307,,28.9836,,,900.717,,47594.4,,,11.4374,,,167.794,,,,74687.9,,,,,96.2247,6.75012,,213585.0,,8.47689,,4.38034,,151.428,,,,1.02738,,0.178681,7.90466,,1284.83,,29.1536,0.339167,,8.65132,,61.891,,6.70074,,31.6643,,2.23454,,36336.3,,86.1741,
44,OREAS 137,25.9088,48208.2,,239.551,,,7774.95,,2.86579,,4.03555,39163.3,,,14710.5,,100.065,48.4947,,,26.8838,39.3387,,5.11571,246.105,,,,,3.42548,,1.93513,,0.872556,,,96865.9,,,,,,,12.5135,,4.40561,,,,3.08933,,1.55667,0.667,,0.368542,,43971.5,,,,,,,31.4633,,47.2428,,0.282863,,,,8188.13,,3251.83,,9.82598,1502.19,,6.79804,,,,37.7019,,,886.2,,6734.31,,,6.43351,,,204.564,,,,93722.4,,,,,20.496,7.24445,,225118.0,,3.86345,,1.63244,,261.897,,,,0.64,,0.303768,8.91656,,1580.51,,39.4021,0.275012,,11.8749,,77.8486,,2.63384,,18.2257,,1.91027,,49211.2,,106.411,
45,OREAS 138,45.2247,43243.3,,274.63,,,,,2.99004,,4.92464,40345.7,,,12727.7,,168.08,56.394,,,26.7492,35.9602,,4.20735,265.731,,,,,3.1861,,1.78367,,,,,110197.0,,,,,,,11.3668,,3.94197,,,,2.80466,,2.48874,0.610333,,0.498626,,39587.4,,,,,,,27.4556,,43.8304,,0.261489,,,,6443.07,,4588.61,,10.6562,1313.35,,6.50285,,22.4153,,37.6555,,,904.474,,12314.7,,,5.74902,,,178.164,,,,123485.0,,,,,34.8589,6.39144,2.2087,198522.0,,4.70508,,1.82118,,327.739,,,,0.5816,,0.385721,8.94451,,1427.4,,40.5323,0.252843,,12.7878,,76.0801,,2.5082,,17.1625,,1.70571,,81857.2,,97.5168,
46,OREAS 139,76.668,36178.5,,314.991,,,,,2.86836,,6.83403,38314.3,,,11517.5,,278.058,33.8025,,,25.6141,29.3531,,3.22209,271.273,,,,,2.81278,,1.51133,,0.710128,,,117904.0,,,,,,,10.1887,,3.62673,,,,2.28699,,4.17908,0.533667,,0.729555,,31906.7,,,,,,,13.6748,,38.8894,,0.224828,,,,4908.06,,6627.21,,9.82432,1083.62,,5.76317,,17.8461,,35.924,,,891.219,,22121.8,,,4.71573,,,141.971,,,,160238.0,,,,,58.1177,5.03786,2.77771,163401.0,,4.00953,,2.2655,,330.54,,,,0.473095,,0.569465,7.54213,,1167.47,,37.5718,0.207667,,12.1887,,69.0322,,2.20648,,15.3665,,1.45643,,136290.0,,80.1335,
47,OREAS 13P,,101600.0,,1.2,0.047,,247.0,,,,,,,,68700.0,,,,,,88.0,144.0,,,2504.0,,,,,,,,,,,,75800.0,,,,,,,,,,,,,,,,,,,0.0022,4600.0,,,,,,,,,,,,,,,32800.0,,1124.0,,,18900.0,,,,,,2261.0,,0.003,746.0,,13.0,,0.07,,,0.047,,,0.0034,0.006,14700.0,,,,,,18.7,,,,,,,,338.0,,,,,,,,,3380.0,,,,,,,98.0,,,,,,,,91.0,,82.0,
