Summary by Sample
Dataset Name:, C:\Elandata\DataSet\1404-06-04
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Sc45,-389,,,cps,-3.3e-004,,,ppm
Y89,154,,,cps,3.87e-005,,,ppm
La139,670,,,cps,1.42e-004,,,ppm
Ce140,2.16e+003,,,cps,5.13e-004,,,ppm
Pr141,202,,,cps,3.84e-005,,,ppm
Nd142,193,,,cps,1.36e-004,,,ppm
Sm152,98.4,,,cps,6.49e-005,,,ppm
Eu153,15.4,,,cps,5.14e-006,,,ppm
Gd158,58.7,,,cps,4.08e-005,,,ppm
Tb159,12.3,,,cps,2.12e-006,,,ppm
Dy164,11.2,,,cps,6.83e-006,,,ppm
Ho165,1.45,,,cps,2.41e-007,,,ppm
Er166,32.3,,,cps,1.62e-005,,,ppm
Tm169,6.32,,,cps,1.05e-006,,,ppm
Yb174,-21.4,,,cps,-1.11e-005,,,ppm
Lu175,11.1,,,cps,2.07e-006,,,ppm
U238,37.9,,,cps,1.11e-005,,,ppm
Ga69,875,,,cps,5.1e-004,,,ppm
Sample ID:,mix3  5
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,8.,,,cps,3.96e-005,,,ppm
Bi209,150,,,cps,9.37e-005,,,ppm
Cd111,91.6,,,cps,2.29e-004,,,ppm
Cs133,29.5,,,cps,6.38e-006,,,ppm
Co59,300,,,cps,1.39e-004,,,ppm
Pb208,8.33e+003,,,cps,4.73e-003,,,ppm
Rb85,827,,,cps,3.13e-004,,,ppm
Se82,-37.8,,,cps,-1.11e-003,,,ppm
Ag107,1.1e+003,,,cps,6.54e-004,,,ppm
Te130,-0.648,,,cps,-2.14e-006,,,ppm
Ta181,114,,,cps,3.14e-005,,,ppm
Tl205,56.8,,,cps,2.31e-005,,,ppm
Ge74,2.88,,,cps,4.43e-006,,,ppm
Hf180,39.3,,,cps,2.19e-005,,,ppm
Mo98,85.5,,,cps,1.06e-004,,,ppm
Nb93,86.3,,,cps,3.12e-005,,,ppm
Sb121,68.4,,,cps,5.96e-005,,,ppm
Sn118,104,,,cps,9.57e-005,,,ppm
W184,131,,,cps,1.09e-004,,,ppm
Zr90,24.7,,,cps,1.45e-005,,,ppm
As75,504,,,cps,2.1e-003,,,ppm
V51,-666,,,cps,-5.14e-004,,,ppm
Cr52,1.89e+003,,,cps,1.24e-003,,,ppm
Ni60,3.47e+004,,,cps,7.4e-002,,,ppm
Cu63,4.44e+003,,,cps,4.11e-003,,,ppm
Zn66,1.78e+004,,,cps,5.26e-002,,,ppm
Th232,16.8,,,cps,5.03e-006,,,ppm
Sc45,5.13e+003,,,cps,4.36e-003,,,ppm
Y89,1.34e+004,,,cps,3.39e-003,,,ppm
La139,1.71e+004,,,cps,3.61e-003,,,ppm
Ce140,1.52e+004,,,cps,3.62e-003,,,ppm
Pr141,1.8e+004,,,cps,3.44e-003,,,ppm
Nd142,5.06e+003,,,cps,3.58e-003,,,ppm
Sm152,5.41e+003,,,cps,3.57e-003,,,ppm
Eu153,1.e+004,,,cps,3.34e-003,,,ppm
Gd158,4.76e+003,,,cps,3.31e-003,,,ppm
Tb159,1.9e+004,,,cps,3.28e-003,,,ppm
Dy164,5.87e+003,,,cps,3.58e-003,,,ppm
Ho165,2.02e+004,,,cps,3.36e-003,,,ppm
Er166,6.84e+003,,,cps,3.43e-003,,,ppm
Tm169,2.14e+004,,,cps,3.54e-003,,,ppm
Yb174,7.11e+003,,,cps,3.68e-003,,,ppm
Lu175,1.96e+004,,,cps,3.65e-003,,,ppm
U238,27.4,,,cps,8.e-006,,,ppm
Ga69,251,,,cps,1.46e-004,,,ppm
Sample ID:,u 20
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,-5.,,,cps,-2.47e-005,,,ppm
Bi209,50.7,,,cps,3.18e-005,,,ppm
Cd111,12.6,,,cps,3.16e-005,,,ppm
Cs133,20.,,,cps,4.33e-006,,,ppm
Co59,943,,,cps,4.38e-004,,,ppm
Pb208,8.77e+003,,,cps,4.98e-003,,,ppm
Rb85,149,,,cps,5.65e-005,,,ppm
Se82,67.2,,,cps,1.97e-003,,,ppm
Ag107,1.24e+003,,,cps,7.38e-004,,,ppm
Te130,39.2,,,cps,1.29e-004,,,ppm
Ta181,3.66,,,cps,1.e-006,,,ppm
Tl205,2.11,,,cps,8.57e-007,,,ppm
Ge74,-9.19,,,cps,-1.42e-005,,,ppm
Hf180,5.21,,,cps,2.9e-006,,,ppm
Mo98,18.8,,,cps,2.33e-005,,,ppm
Nb93,30.5,,,cps,1.1e-005,,,ppm
Sb121,-20.,,,cps,-1.74e-005,,,ppm
Sn118,62.1,,,cps,5.7e-005,,,ppm
W184,15.8,,,cps,1.32e-005,,,ppm
Zr90,32.7,,,cps,1.91e-005,,,ppm
As75,-77.5,,,cps,-3.23e-004,,,ppm
V51,-506,,,cps,-3.9e-004,,,ppm
Cr52,286,,,cps,1.88e-004,,,ppm
Ni60,2.5e+003,,,cps,5.33e-003,,,ppm
Cu63,1.02e+003,,,cps,9.45e-004,,,ppm
Zn66,1.32e+003,,,cps,3.89e-003,,,ppm
Th232,23.2,,,cps,6.92e-006,,,ppm
Sc45,-1.92e+003,,,cps,-1.63e-003,,,ppm
Y89,448,,,cps,1.13e-004,,,ppm
La139,976,,,cps,2.07e-004,,,ppm
Ce140,1.19e+003,,,cps,2.83e-004,,,ppm
Pr141,609,,,cps,1.16e-004,,,ppm
Nd142,278,,,cps,1.97e-004,,,ppm
Sm152,175,,,cps,1.15e-004,,,ppm
Eu153,251,,,cps,8.39e-005,,,ppm
Gd158,197,,,cps,1.37e-004,,,ppm
Tb159,561,,,cps,9.7e-005,,,ppm
Dy164,181,,,cps,1.11e-004,,,ppm
Ho165,585,,,cps,9.72e-005,,,ppm
Er166,232,,,cps,1.16e-004,,,ppm
Tm169,630,,,cps,1.04e-004,,,ppm
Yb174,211,,,cps,1.09e-004,,,ppm
Lu175,593,,,cps,1.11e-004,,,ppm
U238,1.81e+004,,,cps,5.31e-003,,,ppm
Ga69,45.3,,,cps,2.64e-005,,,ppm
Sample ID:,th 20
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,5.,,,cps,2.47e-005,,,ppm
Bi209,170,,,cps,1.06e-004,,,ppm
Cd111,-1.05,,,cps,-2.63e-006,,,ppm
Cs133,16.8,,,cps,3.65e-006,,,ppm
Co59,52.6,,,cps,2.45e-005,,,ppm
Pb208,1.23e+004,,,cps,6.99e-003,,,ppm
Rb85,81.1,,,cps,3.06e-005,,,ppm
Se82,38.8,,,cps,1.14e-003,,,ppm
Ag107,1.7e+004,,,cps,1.02e-002,,,ppm
Te130,-22.6,,,cps,-7.44e-005,,,ppm
Ta181,44.1,,,cps,1.21e-005,,,ppm
Tl205,11.6,,,cps,4.71e-006,,,ppm
Ge74,-4.89,,,cps,-7.54e-006,,,ppm
Hf180,26.1,,,cps,1.45e-005,,,ppm
Mo98,51.4,,,cps,6.34e-005,,,ppm
Nb93,108,,,cps,3.92e-005,,,ppm
Sb121,-3.16,,,cps,-2.75e-006,,,ppm
Sn118,64.2,,,cps,5.9e-005,,,ppm
W184,60.,,,cps,5.01e-005,,,ppm
Zr90,20.2,,,cps,1.18e-005,,,ppm
As75,555,,,cps,2.32e-003,,,ppm
V51,-32.6,,,cps,-2.51e-005,,,ppm
Cr52,-79.8,,,cps,-5.23e-005,,,ppm
Ni60,569,,,cps,1.21e-003,,,ppm
Cu63,1.5e+003,,,cps,1.39e-003,,,ppm
Zn66,2.7e+003,,,cps,7.97e-003,,,ppm
Th232,2.89e+004,,,cps,8.62e-003,,,ppm
Sc45,-1.26e+003,,,cps,-1.08e-003,,,ppm
Y89,3.17e+003,,,cps,7.99e-004,,,ppm
La139,4.47e+003,,,cps,9.45e-004,,,ppm
Ce140,5.1e+003,,,cps,1.21e-003,,,ppm
Pr141,5.22e+003,,,cps,9.94e-004,,,ppm
Nd142,1.46e+003,,,cps,1.03e-003,,,ppm
Sm152,1.69e+003,,,cps,1.11e-003,,,ppm
Eu153,3.31e+003,,,cps,1.1e-003,,,ppm
Gd158,1.54e+003,,,cps,1.07e-003,,,ppm
Tb159,5.95e+003,,,cps,1.03e-003,,,ppm
Dy164,1.61e+003,,,cps,9.85e-004,,,ppm
Ho165,5.53e+003,,,cps,9.17e-004,,,ppm
Er166,1.74e+003,,,cps,8.74e-004,,,ppm
Tm169,5.49e+003,,,cps,9.09e-004,,,ppm
Yb174,1.78e+003,,,cps,9.21e-004,,,ppm
Lu175,4.51e+003,,,cps,8.42e-004,,,ppm
U238,8.15e+003,,,cps,2.38e-003,,,ppm
Ga69,121,,,cps,7.06e-005,,,ppm
Sample ID:,RM1 RM1 RM1
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,316,,,cps,0.391,,,ppm
Bi209,9.09e+003,,,cps,1.42,,,ppm
Cd111,1.14e+003,,,cps,0.71,,,ppm
Cs133,8.7e+004,,,cps,4.71,,,ppm
Co59,6.52e+004,,,cps,7.57,,,ppm
Pb208,3.58e+005,,,cps,50.8,,,ppm
Rb85,5.3e+005,,,cps,50.1,,,ppm
Se82,18.4,,,cps,0.135,,,ppm
Ag107,1.07e+004,,,cps,1.6,,,ppm
Te130,811,,,cps,0.668,,,ppm
Ta181,4.69e+003,,,cps,0.322,,,ppm
Tl205,6.39e+003,,,cps,0.65,,,ppm
Ge74,1.21e+003,,,cps,0.465,,,ppm
Hf180,4.5e+003,,,cps,0.627,,,ppm
Mo98,9.77e+003,,,cps,3.02,,,ppm
Nb93,2.79e+004,,,cps,2.53,,,ppm
Sb121,1.11e+004,,,cps,2.42,,,ppm
Sn118,1.01e+004,,,cps,2.31,,,ppm
W184,8.38e+003,,,cps,1.75,,,ppm
Zr90,1.17e+005,,,cps,17.2,,,ppm
As75,1.14e+005,,,cps,119,,,ppm
V51,4.66e+005,,,cps,89.8,,,ppm
Cr52,1.29e+005,,,cps,21.2,,,ppm
Ni60,1.84e+004,,,cps,9.81,,,ppm
Cu63,1.67e+005,,,cps,38.5,,,ppm
Zn66,8.45e+004,,,cps,62.3,,,ppm
Th232,2.39e+004,,,cps,1.79,,,ppm
Sc45,7.41e+004,,,cps,15.7,,,ppm
Y89,6.99e+004,,,cps,4.4,,,ppm
La139,9.41e+004,,,cps,4.98,,,ppm
Ce140,1.79e+005,,,cps,10.6,,,ppm
Pr141,2.6e+004,,,cps,1.24,,,ppm
Nd142,2.71e+004,,,cps,4.79,,,ppm
Sm152,8.9e+003,,,cps,1.47,,,ppm
Eu153,6.51e+003,,,cps,0.544,,,ppm
Gd158,7.89e+003,,,cps,1.37,,,ppm
Tb159,4.7e+003,,,cps,0.203,,,ppm
Dy164,6.67e+003,,,cps,1.02,,,ppm
Ho165,4.85e+003,,,cps,0.201,,,ppm
Er166,4.56e+003,,,cps,0.571,,,ppm
Tm169,2.3e+003,,,cps,9.54e-002,,,ppm
Yb174,4.12e+003,,,cps,0.534,,,ppm
Lu175,2.16e+003,,,cps,0.101,,,ppm
U238,9.e+003,,,cps,0.658,,,ppm
Ga69,8.79e+004,,,cps,12.8,,,ppm
Sample ID:,nit
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,-4.,,,cps,-1.98e-005,,,ppm
Bi209,750,,,cps,4.7e-004,,,ppm
Cd111,8.42,,,cps,2.11e-005,,,ppm
Cs133,65.3,,,cps,1.41e-005,,,ppm
Co59,2.04e+003,,,cps,9.49e-004,,,ppm
Pb208,6.82e+003,,,cps,3.87e-003,,,ppm
Rb85,215,,,cps,8.12e-005,,,ppm
Se82,41.9,,,cps,1.23e-003,,,ppm
Ag107,452,,,cps,2.69e-004,,,ppm
Te130,605,,,cps,1.99e-003,,,ppm
Ta181,1.15e+003,,,cps,3.16e-004,,,ppm
Tl205,159,,,cps,6.47e-005,,,ppm
Ge74,12.,,,cps,1.85e-005,,,ppm
Hf180,77.3,,,cps,4.3e-005,,,ppm
Mo98,3.72e+003,,,cps,4.59e-003,,,ppm
Nb93,2.62e+003,,,cps,9.47e-004,,,ppm
Sb121,92.6,,,cps,8.07e-005,,,ppm
Sn118,1.43e+003,,,cps,1.31e-003,,,ppm
W184,4.23e+003,,,cps,3.54e-003,,,ppm
Zr90,398,,,cps,2.33e-004,,,ppm
As75,3.55e+003,,,cps,1.48e-002,,,ppm
V51,-4.15e+004,,,cps,-3.2e-002,,,ppm
Cr52,1.13e+005,,,cps,7.41e-002,,,ppm
Ni60,2.42e+004,,,cps,5.17e-002,,,ppm
Cu63,3.97e+003,,,cps,3.67e-003,,,ppm
Zn66,1.92e+004,,,cps,5.67e-002,,,ppm
Th232,756,,,cps,2.26e-004,,,ppm
Sc45,-628,,,cps,-5.34e-004,,,ppm
Y89,132,,,cps,3.31e-005,,,ppm
La139,258,,,cps,5.46e-005,,,ppm
Ce140,316,,,cps,7.51e-005,,,ppm
Pr141,195,,,cps,3.71e-005,,,ppm
Nd142,69.2,,,cps,4.89e-005,,,ppm
Sm152,75.4,,,cps,4.97e-005,,,ppm
Eu153,58.5,,,cps,1.95e-005,,,ppm
Gd158,43.4,,,cps,3.02e-005,,,ppm
Tb159,103,,,cps,1.78e-005,,,ppm
Dy164,33.2,,,cps,2.03e-005,,,ppm
Ho165,91.3,,,cps,1.52e-005,,,ppm
Er166,30.2,,,cps,1.51e-005,,,ppm
Tm169,77.9,,,cps,1.29e-005,,,ppm
Yb174,34.4,,,cps,1.78e-005,,,ppm
Lu175,85.7,,,cps,1.6e-005,,,ppm
U238,832,,,cps,2.43e-004,,,ppm
Ga69,261,,,cps,1.52e-004,,,ppm
Sample ID:,blnk zgh  v250 d25(1607)
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,1.67e+003,,,cps,258,,,ppm
Bi209,1.52e+005,,,cps,2.97e+003,,,ppm
Cd111,15.8,,,cps,1.23,,,ppm
Cs133,6.53e+003,,,cps,44.2,,,ppm
Co59,259,,,cps,3.76,,,ppm
Pb208,3.23e+004,,,cps,573,,,ppm
Rb85,372,,,cps,4.39,,,ppm
Se82,16.4,,,cps,15.,,,ppm
Ag107,2.86e+004,,,cps,533,,,ppm
Te130,226,,,cps,23.3,,,ppm
Ta181,24.5,,,cps,0.21,,,ppm
Tl205,21.1,,,cps,0.268,,,ppm
Ge74,-54.1,,,cps,-2.6,,,ppm
Hf180,21.2,,,cps,0.369,,,ppm
Mo98,177,,,cps,6.83,,,ppm
Nb93,172,,,cps,1.94,,,ppm
Sb121,36.8,,,cps,1.,,,ppm
Sn118,6.21e+004,,,cps,1.78e+003,,,ppm
W184,226,,,cps,5.91,,,ppm
Zr90,246,,,cps,4.49,,,ppm
As75,4.17e+003,,,cps,543,,,ppm
V51,-186,,,cps,-4.49,,,ppm
Cr52,4.68e+003,,,cps,95.9,,,ppm
Ni60,1.12e+003,,,cps,74.6,,,ppm
Cu63,1.36e+004,,,cps,391,,,ppm
Zn66,2.76e+003,,,cps,254,,,ppm
Th232,1.e+003,,,cps,9.34,,,ppm
Sc45,427,,,cps,11.3,,,ppm
Y89,1.06e+003,,,cps,8.31,,,ppm
La139,4.57e+004,,,cps,302,,,ppm
Ce140,5.9e+004,,,cps,439,,,ppm
Pr141,4.03e+003,,,cps,24.,,,ppm
Nd142,2.64e+003,,,cps,58.2,,,ppm
Sm152,278,,,cps,5.72,,,ppm
Eu153,83.1,,,cps,0.867,,,ppm
Gd158,664,,,cps,14.4,,,ppm
Tb159,161,,,cps,0.869,,,ppm
Dy164,134,,,cps,2.55,,,ppm
Ho165,55.6,,,cps,0.288,,,ppm
Er166,60.8,,,cps,0.953,,,ppm
Tm169,8.42,,,cps,4.36e-002,,,ppm
Yb174,11.5,,,cps,0.186,,,ppm
Lu175,12.3,,,cps,7.15e-002,,,ppm
U238,200,,,cps,1.83,,,ppm
Ga69,341,,,cps,6.21,,,ppm
Sample ID:,blnk zp v500 d25(1619)
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,14.,,,cps,3.93,,,ppm
Bi209,1.64e+003,,,cps,58.4,,,ppm
Cd111,-14.7,,,cps,-2.09,,,ppm
Cs133,29.5,,,cps,0.363,,,ppm
Co59,101,,,cps,2.67,,,ppm
Pb208,7.2e+003,,,cps,232,,,ppm
Rb85,42.1,,,cps,0.905,,,ppm
Se82,7.95,,,cps,13.3,,,ppm
Ag107,1.52e+004,,,cps,516,,,ppm
Te130,40.7,,,cps,7.62,,,ppm
Ta181,26.9,,,cps,0.419,,,ppm
Tl205,12.6,,,cps,0.292,,,ppm
Ge74,-60.8,,,cps,-5.32,,,ppm
Hf180,13.2,,,cps,0.419,,,ppm
Mo98,49.4,,,cps,3.46,,,ppm
Nb93,123,,,cps,2.53,,,ppm
Sb121,-10.5,,,cps,-0.521,,,ppm
Sn118,4.83e+003,,,cps,252,,,ppm
W184,88.4,,,cps,4.2,,,ppm
Zr90,289,,,cps,9.62,,,ppm
As75,2.55e+003,,,cps,605,,,ppm
V51,-658,,,cps,-28.8,,,ppm
Cr52,1.93e+003,,,cps,72.,,,ppm
Ni60,190,,,cps,23.1,,,ppm
Cu63,7.09e+003,,,cps,372,,,ppm
Zn66,2.3e+003,,,cps,385,,,ppm
Th232,82.1,,,cps,1.39,,,ppm
Sc45,-984,,,cps,-47.5,,,ppm
Y89,44.2,,,cps,0.633,,,ppm
La139,538,,,cps,6.47,,,ppm
Ce140,860,,,cps,11.6,,,ppm
Pr141,138,,,cps,1.5,,,ppm
Nd142,124,,,cps,4.98,,,ppm
Sm152,25.1,,,cps,0.938,,,ppm
Eu153,17.4,,,cps,0.331,,,ppm
Gd158,22.3,,,cps,0.878,,,ppm
Tb159,11.2,,,cps,0.11,,,ppm
Dy164,16.4,,,cps,0.57,,,ppm
Ho165,0.431,,,cps,4.06e-003,,,ppm
Er166,8.17,,,cps,0.233,,,ppm
Tm169,-3.16,,,cps,-2.97e-002,,,ppm
Yb174,-1.03,,,cps,-3.04e-002,,,ppm
Lu175,15.9,,,cps,0.169,,,ppm
U238,33.7,,,cps,0.56,,,ppm
Ga69,91.6,,,cps,3.03,,,ppm
Sample ID:,blnk tiz 1619
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,46.,,,cps,5.69e-002,,,ppm
Bi209,2.77e+003,,,cps,0.433,,,ppm
Cd111,96.8,,,cps,6.05e-002,,,ppm
Cs133,45.3,,,cps,2.45e-003,,,ppm
Co59,4.71e+003,,,cps,0.547,,,ppm
Pb208,2.28e+004,,,cps,3.24,,,ppm
Rb85,224,,,cps,2.12e-002,,,ppm
Se82,1.25e+003,,,cps,9.2,,,ppm
Ag107,4.01e+005,,,cps,59.8,,,ppm
Te130,1.04e+003,,,cps,0.856,,,ppm
Ta181,499,,,cps,3.42e-002,,,ppm
Tl205,65.3,,,cps,6.64e-003,,,ppm
Ge74,-321,,,cps,-0.123,,,ppm
Hf180,106,,,cps,1.48e-002,,,ppm
Mo98,1.23e+003,,,cps,0.378,,,ppm
Nb93,4.19e+003,,,cps,0.379,,,ppm
Sb121,274,,,cps,5.96e-002,,,ppm
Sn118,9.89e+003,,,cps,2.27,,,ppm
W184,2.36e+003,,,cps,0.493,,,ppm
Zr90,2.6e+003,,,cps,0.381,,,ppm
As75,1.6e+005,,,cps,167,,,ppm
V51,8.01e+005,,,cps,154,,,ppm
Cr52,1.19e+005,,,cps,19.5,,,ppm
Ni60,1.3e+004,,,cps,6.92,,,ppm
Cu63,1.64e+004,,,cps,3.8,,,ppm
Zn66,2.69e+004,,,cps,19.8,,,ppm
Th232,608,,,cps,4.54e-002,,,ppm
Sc45,522,,,cps,0.111,,,ppm
Y89,177,,,cps,1.11e-002,,,ppm
La139,1.74e+003,,,cps,9.2e-002,,,ppm
Ce140,3.46e+003,,,cps,0.206,,,ppm
Pr141,526,,,cps,2.5e-002,,,ppm
Nd142,527,,,cps,9.31e-002,,,ppm
Sm152,85.6,,,cps,1.41e-002,,,ppm
Eu153,49.2,,,cps,4.11e-003,,,ppm
Gd158,85.8,,,cps,1.49e-002,,,ppm
Tb159,19.,,,cps,8.2e-004,,,ppm
Dy164,34.7,,,cps,5.29e-003,,,ppm
Ho165,3.5,,,cps,1.45e-004,,,ppm
Er166,22.,,,cps,2.76e-003,,,ppm
Tm169,14.7,,,cps,6.11e-004,,,ppm
Yb174,4.74,,,cps,6.14e-004,,,ppm
Lu175,18.4,,,cps,8.58e-004,,,ppm
U238,164,,,cps,1.2e-002,,,ppm
Ga69,4.85e+003,,,cps,0.706,,,ppm
Sample ID:,zgh 1607-2 v250 d25
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,1.66e+003,,,cps,256,,,ppm
Bi209,72.9,,,cps,1.42,,,ppm
Cd111,1.05,,,cps,8.18e-002,,,ppm
Cs133,6.27e+003,,,cps,42.2,,,ppm
Co59,1.31e+003,,,cps,19.,,,ppm
Pb208,1.09e+004,,,cps,193,,,ppm
Rb85,2.88e+003,,,cps,33.9,,,ppm
Se82,66.6,,,cps,60.8,,,ppm
Ag107,2.31e+004,,,cps,429,,,ppm
Te130,-61.1,,,cps,-6.26,,,ppm
Ta181,79.4,,,cps,0.678,,,ppm
Tl205,7.37,,,cps,9.33e-002,,,ppm
Ge74,-45.7,,,cps,-2.19,,,ppm
Hf180,62.6,,,cps,1.08,,,ppm
Mo98,19.6,,,cps,0.751,,,ppm
Nb93,366,,,cps,4.12,,,ppm
Sb121,1.27e+003,,,cps,34.3,,,ppm
Sn118,1.68e+003,,,cps,47.9,,,ppm
W184,126,,,cps,3.28,,,ppm
Zr90,1.74e+003,,,cps,31.7,,,ppm
As75,5.33e+003,,,cps,691,,,ppm
V51,171,,,cps,4.09,,,ppm
Cr52,2.23e+003,,,cps,45.4,,,ppm
Ni60,2.58e+003,,,cps,171,,,ppm
Cu63,1.19e+004,,,cps,342,,,ppm
Zn66,1.65e+003,,,cps,151,,,ppm
Th232,95.8,,,cps,0.89,,,ppm
Sc45,2.98e+003,,,cps,78.9,,,ppm
Y89,1.06e+003,,,cps,8.28,,,ppm
La139,1.83e+003,,,cps,12.,,,ppm
Ce140,3.46e+003,,,cps,25.6,,,ppm
Pr141,551,,,cps,3.26,,,ppm
Nd142,633,,,cps,13.9,,,ppm
Sm152,341,,,cps,6.98,,,ppm
Eu153,421,,,cps,4.37,,,ppm
Gd158,132,,,cps,2.86,,,ppm
Tb159,72.1,,,cps,0.387,,,ppm
Dy164,120,,,cps,2.28,,,ppm
Ho165,78.7,,,cps,0.406,,,ppm
Er166,67.1,,,cps,1.05,,,ppm
Tm169,26.3,,,cps,0.136,,,ppm
Yb174,43.,,,cps,0.692,,,ppm
Lu175,33.3,,,cps,0.193,,,ppm
U238,60.,,,cps,0.546,,,ppm
Ga69,6.32e+003,,,cps,115,,,ppm
Sample ID:,zgh 1607-5  saf v250 d25
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,1.9e+003,,,cps,285,,,ppm
Bi209,174,,,cps,3.3,,,ppm
Cd111,41.1,,,cps,3.11,,,ppm
Cs133,6.9e+003,,,cps,45.3,,,ppm
Co59,1.1e+003,,,cps,15.4,,,ppm
Pb208,1.73e+004,,,cps,298,,,ppm
Rb85,1.63e+003,,,cps,18.8,,,ppm
Se82,17.1,,,cps,15.3,,,ppm
Ag107,1.75e+004,,,cps,317,,,ppm
Te130,-1.07e+004,,,cps,-1.07e+003,,,ppm
Ta181,78.8,,,cps,0.656,,,ppm
Tl205,60.,,,cps,0.741,,,ppm
Ge74,-38.3,,,cps,-1.79,,,ppm
Hf180,607,,,cps,10.3,,,ppm
Mo98,92.8,,,cps,3.48,,,ppm
Nb93,314,,,cps,3.44,,,ppm
Sb121,2.64e+003,,,cps,69.7,,,ppm
Sn118,2.47e+004,,,cps,689,,,ppm
W184,294,,,cps,7.44,,,ppm
Zr90,2.17e+004,,,cps,386,,,ppm
As75,6.17e+003,,,cps,781,,,ppm
V51,-2.16e+003,,,cps,-50.6,,,ppm
Cr52,5.48e+003,,,cps,109,,,ppm
Ni60,5.48e+003,,,cps,355,,,ppm
Cu63,1.31e+004,,,cps,368,,,ppm
Zn66,5.49e+003,,,cps,491,,,ppm
Th232,355,,,cps,3.22,,,ppm
Sc45,2.59e+003,,,cps,66.9,,,ppm
Y89,2.08e+003,,,cps,15.9,,,ppm
La139,7.24e+003,,,cps,46.5,,,ppm
Ce140,9.e+003,,,cps,64.9,,,ppm
Pr141,1.25e+003,,,cps,7.2,,,ppm
Nd142,1.15e+003,,,cps,24.6,,,ppm
Sm152,6.05e+003,,,cps,121,,,ppm
Eu153,8.32e+003,,,cps,84.3,,,ppm
Gd158,242,,,cps,5.11,,,ppm
Tb159,99.8,,,cps,0.523,,,ppm
Dy164,150,,,cps,2.78,,,ppm
Ho165,82.7,,,cps,0.417,,,ppm
Er166,91.,,,cps,1.38,,,ppm
Tm169,61.1,,,cps,0.307,,,ppm
Yb174,128,,,cps,2.,,,ppm
Lu175,171,,,cps,0.969,,,ppm
U238,325,,,cps,2.89,,,ppm
Ga69,1.55e+005,,,cps,2.75e+003,,,ppm
Sample ID:,nit
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,23.,,,cps,1.14e-004,,,ppm
Bi209,258,,,cps,1.62e-004,,,ppm
Cd111,6.32,,,cps,1.58e-005,,,ppm
Cs133,29.5,,,cps,6.38e-006,,,ppm
Co59,2.01e+003,,,cps,9.35e-004,,,ppm
Pb208,7.87e+003,,,cps,4.47e-003,,,ppm
Rb85,66.3,,,cps,2.51e-005,,,ppm
Se82,38.8,,,cps,1.14e-003,,,ppm
Ag107,297,,,cps,1.77e-004,,,ppm
Te130,167,,,cps,5.49e-004,,,ppm
Ta181,389,,,cps,1.07e-004,,,ppm
Tl205,22.1,,,cps,9.e-006,,,ppm
Ge74,-20.6,,,cps,-3.17e-005,,,ppm
Hf180,98.,,,cps,5.46e-005,,,ppm
Mo98,3.03e+003,,,cps,3.75e-003,,,ppm
Nb93,1.62e+003,,,cps,5.88e-004,,,ppm
Sb121,113,,,cps,9.81e-005,,,ppm
Sn118,1.84e+003,,,cps,1.69e-003,,,ppm
W184,2.12e+003,,,cps,1.77e-003,,,ppm
Zr90,3.97e+003,,,cps,2.32e-003,,,ppm
As75,1.96e+003,,,cps,8.18e-003,,,ppm
V51,-4.27e+004,,,cps,-3.29e-002,,,ppm
Cr52,1.14e+005,,,cps,7.5e-002,,,ppm
Ni60,2.4e+004,,,cps,5.12e-002,,,ppm
Cu63,4.01e+003,,,cps,3.71e-003,,,ppm
Zn66,1.77e+004,,,cps,5.23e-002,,,ppm
Th232,337,,,cps,1.01e-004,,,ppm
Sc45,-832,,,cps,-7.07e-004,,,ppm
Y89,35.8,,,cps,9.01e-006,,,ppm
La139,107,,,cps,2.27e-005,,,ppm
Ce140,102,,,cps,2.42e-005,,,ppm
Pr141,69.5,,,cps,1.32e-005,,,ppm
Nd142,23.,,,cps,1.62e-005,,,ppm
Sm152,43.1,,,cps,2.84e-005,,,ppm
Eu153,17.9,,,cps,5.99e-006,,,ppm
Gd158,3.04,,,cps,2.11e-006,,,ppm
Tb159,3.06,,,cps,5.3e-007,,,ppm
Dy164,-2.83,,,cps,-1.72e-006,,,ppm
Ho165,9.62,,,cps,1.6e-006,,,ppm
Er166,14.3,,,cps,7.16e-006,,,ppm
Tm169,-8.42,,,cps,-1.4e-006,,,ppm
Yb174,2.75,,,cps,1.42e-006,,,ppm
Lu175,8.76,,,cps,1.63e-006,,,ppm
U238,78.9,,,cps,2.31e-005,,,ppm
Ga69,208,,,cps,1.21e-004,,,ppm
Sample ID:,zp v500 d25 1619-1
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
