Summary by Sample
Dataset Name:, C:\Elandata\DataSet\1404-06-04
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Cr52,2.82e+006,,,cps,452,,,ppm
Ni60,1.82e+005,,,cps,95.,,,ppm
Cu63,3.99e+005,,,cps,89.8,,,ppm
Zn66,6.95e+004,,,cps,50.,,,ppm
Th232,1.26e+005,,,cps,9.15,,,ppm
Sc45,1.71e+005,,,cps,35.4,,,ppm
Y89,1.91e+005,,,cps,11.7,,,ppm
La139,4.61e+005,,,cps,23.8,,,ppm
Ce140,8.14e+005,,,cps,47.2,,,ppm
Pr141,1.17e+005,,,cps,5.45,,,ppm
Nd142,1.17e+005,,,cps,20.1,,,ppm
Sm152,2.81e+004,,,cps,4.52,,,ppm
Eu153,1.53e+004,,,cps,1.25,,,ppm
Gd158,2.82e+004,,,cps,4.78,,,ppm
Tb159,1.29e+004,,,cps,0.544,,,ppm
Dy164,1.82e+004,,,cps,2.71,,,ppm
Ho165,1.18e+004,,,cps,0.478,,,ppm
Er166,1.18e+004,,,cps,1.44,,,ppm
Tm169,4.76e+003,,,cps,0.192,,,ppm
Yb174,1.05e+004,,,cps,1.33,,,ppm
Lu175,4.69e+003,,,cps,0.214,,,ppm
U238,2.84e+004,,,cps,2.03,,,ppm
Ga69,1.65e+005,,,cps,23.4,,,ppm
Sample ID:,252 b
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,2.31e+003,,,cps,2.81,,,ppm
Bi209,3.98e+004,,,cps,6.15,,,ppm
Cd111,281,,,cps,0.173,,,ppm
Cs133,1.26e+005,,,cps,6.73,,,ppm
Co59,2.05e+005,,,cps,23.5,,,ppm
Pb208,1.81e+005,,,cps,25.3,,,ppm
Rb85,1.36e+006,,,cps,126,,,ppm
Se82,111,,,cps,0.803,,,ppm
Ag107,2.07e+005,,,cps,30.4,,,ppm
Te130,-3.4e+003,,,cps,-2.76,,,ppm
Ta181,3.55e+004,,,cps,2.4,,,ppm
Tl205,6.01e+003,,,cps,0.602,,,ppm
Ge74,2.83e+003,,,cps,1.07,,,ppm
Hf180,3.96e+004,,,cps,5.43,,,ppm
Mo98,9.15e+003,,,cps,2.78,,,ppm
Nb93,3.99e+005,,,cps,35.6,,,ppm
Sb121,4.11e+004,,,cps,8.82,,,ppm
Sn118,3.07e+004,,,cps,6.94,,,ppm
W184,1.99e+005,,,cps,40.9,,,ppm
Zr90,2.13e+006,,,cps,308,,,ppm
As75,2.22e+005,,,cps,228,,,ppm
V51,4.78e+005,,,cps,90.7,,,ppm
Cr52,1.63e+006,,,cps,263,,,ppm
